Index,Requirement,Ground Truth,Response
8472,"If ( prop_3 ) happens, then ( prop_2 ) should also happen, and at the same time, for any given time step, ( prop_1 ) should be true.",(prop_3 -> prop_2) & G prop_1,G(prop_3 -> prop_2) & G(prop_1)
8473,when possible go_to apple and at any time approach house,F go_to_apple & F approach_house,F(go_to_apple ) & G(approach_house )
8474,at any time get_close tree or repeatedly make_way_to house,F get_close_tree | GF make_way_to_house,G(get_close_tree | GF make_way_to_house)
8475,never ( prop_1 ) and at any time ( prop_2 ),G(!prop_1 & F prop_2),G(!prop_1 ) & G(prop_2 )
8476,If (prop_3) then (prop_1) if and only if (prop_2) is equivalent to (prop_4) .,(prop_3 -> prop_1) -> (prop_2 <-> prop_4),G(prop_3 -> ((prop_1 <-> prop_2) <-> prop_4))
8477,when possible venture_to house until never drop apple,F venture_to_house U G!drop_apple,G(venture_to_house U G(!drop_apple))
8480,reach trash can and hold_on_to pear,hold_on_to_pear & reach_trash_can,F(reach_trash_can & hold_on_to_pear)
8481,"if repeatedly ( prop_1 ) , ( prop_2 )",GF prop_1 -> prop_2,GF(prop_1 ) -> GF(prop_2 )
8482,don't pick_up anything and whenever go_visit house,!F pick_up_anything & F go_visit_house,G(!pick_up_anything) & G(go_visit_house -> go_visit_house)
8484,"If (prop_4) is observed, then do (prop_1), keep this state until (prop_2) or (prop_3) is observed .",(prop_4 -> prop_1) U (prop_2 | prop_3),G(prop_4 -> (prop_1 U (prop_2 | prop_3)))
8485,Pick up the sink can only happen after droping off the bed to the loading_dock.,!pickup_sink U deliver_bed_loading_dock,G(!pickup_sink U deliver_bed_loading_dock)
8487,if the brake is released or the engine starts then it will not happen that both the bar is closing and an elevator is blocked,G((brake_is_released | engine_starts) -> G!(bar_is_closing & elevator_is_blocked)),G((brake_is_released | engine_starts) -> ! (bar_is_closing & elevator_is_blocked))
8488,"Continuously revisit mall 5, and ensure that each time you eventually pick up crate 8 and deliver it to office 6",GF(mall_5 & F(p_crate_8 & F(office_6 & pd))),G(mall_5 -> F(p_crate_8 & F(office_6)))
8489,"If at some point ( prop_3 ) or ( prop_2 ) then the scenario is equivalent to ( prop_1 ) , it should be followed by ( prop_4 ) .",(prop_1 <-> (prop_2 | prop_3)) -> prop_4,G(((prop_3 | prop_2) & (prop_1 <-> prop_1)) -> F(prop_4))
8491,when possible go_to home until gather orange,F go_to_home U gather_orange,G(go_to_home U gather_orange)
8494,"If eventually (prop_2) happens, then either (prop_1) or (prop_3) should happen.",F prop_2 -> (prop_1 | prop_3),F(prop_2 ) -> F(prop_1 | prop_3 )
8498,at any time ( prop_1 ) and repeatedly ( prop_2 ),F(prop_1 & GF prop_2),G(prop_1 & G(prop_2))
8499,"Pick up stack 4 from house 4, proceed to street 2, and remain there",F(house_4 & F(p_stack_4 & F(street_2 & G street_2))),F(p_stack_4 & house_4 & F(street_2 & G street_2))
8501,"This controller must eventually, avoid establishing communication with the injured_hostile.",F!communicate_injured_hostile,F(G(!communicate_injured_hostile ))
8503,"Stay away from store 4 until you reach street 6, and make sure to move package 8 from office 2 to store 4",(!store_4 U street_6) & F(office_2 & F(p_package_8 & F(pd & store_4))),G(!store_4 U street_6) & F(p_package_8 & office_2 & F(p_package_8 & store_4))
8504,This controller must pickup the sports_ball can only happen after calling for help.,!pickup_sports_ball U get_help,G(!pickup_sports_ball U get_help)
8505,"If ( prop_4 ) would imply ( prop_2 ) then this would further imply ( prop_3 ) , then it would have to be the case that ( prop_1 ) .",((prop_4 -> prop_2) -> prop_3) -> prop_1,G(((prop_4 -> prop_2) -> prop_3) -> prop_1)
8506,Take bottle_3 from store 1 and put it in hospital_2,F(shop_1 & F(p_bottle_3 & F(hospital_2 & pd))),F(p_bottle_3 & shop_1 & F(p_bottle_3 & hospital_2))
8507,whenever ( prop_1 ) or forever ( prop_2 ),F(prop_1 | G prop_2),G(prop_1 | G prop_2)
8509,advance_to tree and move_to trashcan,advance_to_tree & move_to_trashcan,G(advance_to_tree & move_to_trashcan)
8511,"when whenever ( prop_1 ) , ( prop_2 )",F prop_1 -> prop_2,G(prop_1 -> prop_2)
8512,"Avoid going to building_3 until you reach street_6, and then transport box_8 from store_3 to house_2",(!building_3 U street_6) & F(store_3 & F(p_box_8 & F(house_2 & pd))),(!building_3 U street_6) & F(p_box_8 & store_3 & F(p_box_8 & house_2))
8513,repeatedly ( prop_1 ) or at some time ( prop_2 ),G(F prop_1 | F prop_2),GF(prop_1 ) | F(prop_2 )
8514,"It is not the case that ( prop_2 ) and ( prop_3 ) happen at the same time , and instead ( prop_1 ) .",prop_1 & !(prop_2 & prop_3),G(!(prop_2 & prop_3) & prop_1)
8516,"Globally , if ( prop_1 ) , then in response there will be sometime in the future , at which ( prop_2 ) , till then ( prop_3 ) .",G(prop_1 -> (prop_2 U prop_3)),G(prop_1 -> (prop_3 U prop_2))
8517,repeatedly ( prop_1 ) and ( prop_2 ),G(prop_2 & F prop_1),GF(prop_1 & prop_2)
8518,"If pickup the traffic_light ever holds, search the refrigerator must have held beforehand.",F pickup_traffic_light -> (!pickup_traffic_light U (!pickup_traffic_light & search_refrigerator)),!pickup_traffic_light | F(search_refrigerator & F(pickup_traffic_light))
8519,"It is always the case that when ( prop_2 ) , or ( prop_1 ) then for each time point in the future before the execution ends ultimately there will be a certain time instant after at most 74 time units , at which the transition action that ( prop_3 ) gets detected .",G((prop_1 | prop_2) -> GF prop_3),G((prop_2 | prop_1) -> F(prop_3))
8523,"Whenever neither pickup the carrot nor deliver the bicycle to the shelf holds, search the bed eventually holds.",G(!(deliver_bicycle_shelf & pickup_carrot) -> F search_bed),G((!pickup_carrot & !deliver_bicycle_shelf) -> F search_bed)
8524,"During the interval that ( prop_2 ) , and ( prop_3 ) then the condition that ( prop_1 ) ought n't to be true .",G((prop_2 & prop_3) -> !F prop_1),G((prop_2 & prop_3) -> !prop_1)
8526,"If you do (prop_2), then you should do (prop_1), or else don't do (prop_3) .",!prop_3 | (prop_2 -> prop_1),G(prop_2 -> (prop_1 | !prop_3))
8527,never drop apple and approach tree,approach_tree & G!drop_apple,G(!(drop_apple & approach_tree))
8529,"It is always the case that if ( prop_3 ) and ( prop_1 ) , then all of the following conditions hold : in the future before the end of the simulation , continuously ( prop_2 ) .",G((prop_1 & prop_3) -> G prop_2),G((prop_3 & prop_1) -> F G prop_2)
8530,"If (prop_3) is always true, then if (prop_2), (prop_1) should also be true .",G prop_3 -> (prop_2 -> prop_1),G(prop_3 ) -> G(prop_2 -> prop_1 )
8531,"first, sooner or later both the brake is released and the bar is up, and then, eventually, either a semaphore is green or the bar is closing",G!(bar_is_up & brake_is_released) | F(bar_is_up & brake_is_released & F(bar_is_closing | semaphore_is_green)),! (brake_is_released & bar_is_up) | F ((brake_is_released & bar_is_up) & F (semaphore_is_green | bar_is_closing))
8532,"when at some time ( prop_1 ) , whenever ( prop_2 )",F prop_1 -> F prop_2,F(prop_1 & G(prop_2))
8534,whenever ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),G(prop_1 -> F prop_2)
8536,grab_hold pear can infer that when possible start_going_to house,grab_hold_pear -> F start_going_to_house,G(grab_hold_pear -> F(start_going_to_house))
8537,Take a picture of statue 6 and then go to bench 4 and stay there,F(photo & statue_6 & F(bench_4 & G bench_4)),! (photo & statue_6) | F ((photo & statue_6) & F (G (bench_4)))
8539,Remain in locality_6 until you take package_3 from store_8 and deliver it to house_5,locality_6 U (store_8 & F(p_package_3 & F(house_5 & pd))),locality_6 U (p_package_3 & store_8 & F(p_package_3 & house_5))
8541,"It is not the case that ( prop_3 ) happens and continues to happen until ( prop_2 ) , or else ( prop_1 ) .",prop_1 | !(prop_3 U prop_2),!((prop_3 U prop_2) | prop_1)
8542,"If not (prop_1), then both (prop_3) and (prop_2) .",!prop_1 -> (prop_2 & prop_3),G(!prop_1 -> (prop_3 & prop_2))
8545,Get help can only happen after change light_south red.,!get_help U change_light_south_red,G(!get_help U change_light_south_red)
8548,The scenario in which (prop_1) happens and continues until (prop_2) happens is equivalent to the scenario in which (prop_3) does not happen .,!prop_3 <-> (prop_1 U prop_2),(prop_1 U prop_2) <-> G(!prop_3)
8549,"If at some point ( prop_3 ) is equivalent to ( prop_2 ) and this scenario continues until ( prop_1 ) is detected , then ( prop_4 ) .",((prop_2 <-> prop_3) U prop_1) -> prop_4,F((prop_3 <-> prop_2) U prop_1) -> prop_4
8551,The system must Please go_home and then avoid the active_flood.,go_home U avoid_active_flood,!go_home | F(go_home & F(avoid_active_flood))
8553,"( prop_1 ) should not happen , and ( prop_2 ) is equal to ( prop_3 ) .",!prop_1 & (prop_2 <-> prop_3),G(!prop_1 ) & G(prop_2 <-> prop_3 )
8554,"if ( prop_1 ) , ( prop_2 )",prop_1 -> prop_2,G(prop_1 -> prop_2)
8555,"It is always the case that if (prop_1), then (prop_3), which is equivalent to saying that (prop_2) is true for all time .",(prop_1 -> prop_3) <-> G prop_2,G((prop_1 -> prop_3) <-> G prop_2)
8557,"Globally , in case that the scenario that ( prop_3 ) gets observed , then the following condition holds : there will be a time in the future before the end of the execution , at which ultimately ( prop_1 ) , and before that ( prop_2 ) .",G(prop_3 -> (prop_1 U prop_2)),G(prop_3 -> F(prop_2 U prop_1))
8558,"Either (prop_3) or (prop_4) happens, and at the same time, either (prop_1) or (prop_2) happens .",(prop_3 | prop_4) & (prop_1 | prop_2),F((prop_3 | prop_4) & (prop_1 | prop_2))
8559,"If (prop_4) is equivalent to (prop_3), then (prop_1) should be equivalent to (prop_2) .",(prop_3 <-> prop_4) -> (prop_1 <-> prop_2),G((prop_4 <-> prop_3) -> (prop_1 <-> prop_2))
8560,"a train derails implies that as the brake is released, at some point in time the semaphore is yellow",G(train_derails -> G(brake_is_released -> F semaphore_is_yellow)),G(train_derails -> (brake_is_released -> F semaphore_is_yellow))
8562,when possible contact house means that take_to tree,F contact_house -> take_to_tree,G(contact_house -> F(take_to_tree))
8564,Stay in county 4 and keep taking package 4 from office 3 to office 8,G county_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd))),G(county_4 & F(p_package_4 & office_3 & F(p_package_4 & office_8)))
8567,at some time go_to house and forever go_by trash can,F go_to_house & G go_by_trash_can,F(go_to_house & G go_by_trash_can)
8569,at any time move_forward trash can and at some time go_near pear,F move_forward_trash_can & F go_near_pear,G(move_forward_trash_can ) & F(go_near_pear )
8570,at some time track_towards tree or whenever have pear,F track_towards_tree | F have_pear,F(track_towards_tree ) | G(have_pear -> track_towards_tree )
8571,"( prop_3 ) should not happen if ( prop_1 ) does not happen , and ( prop_2 ) should also be true all the time . ",(!prop_3 -> !prop_1) & G prop_2,(G(!prop_1 -> G(!prop_3))) & G(prop_2 )
8572,"If either (prop_1) or (prop_2) happens, then either (prop_3) or (prop_4) should happen as well.",(prop_1 | prop_2) -> (prop_3 | prop_4),G((prop_1 | prop_2) -> F(prop_3 | prop_4))
8574,at any time acquire pear and at any time be_near tree,F acquire_pear & F be_near_tree,G(acquire_pear & be_near_tree)
8576,"( prop_1 ) and ( prop_3 ) should happen at the same time , and in the same time ( prop_2 ) does not happen .",prop_1 & !prop_2 & prop_3,F(prop_1 & prop_3 & !prop_2)
8579,whenever touch house until at some time procure orange,F touch_house U F procure_orange,G(touch_house -> F procure_orange)
8580,"If it is not the case that (prop_1), then either (prop_3) or (prop_2) should happen .",!prop_1 -> (prop_2 | prop_3),G(!prop_1 -> F(prop_3 | prop_2))
8581,"It is always the case that while ( prop_2 ) and ( prop_3 ) , then the following condition holds : at a time in the future before the execution ends , without interruption ( prop_1 ) .",G((prop_2 & prop_3) -> FG prop_1),G((prop_2 & prop_3) -> F(prop_1))
8584,Keep visiting intersection 4 as you proceed to locality 9,GF intersection_4 & F locality_9,G(locality_9 -> (intersection_4 U locality_9))
8585,at any time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2),G(prop_1 | prop_2)
8587,"If (prop_3) holds until (prop_1), then make sure (prop_2) and (prop_4) both happen .",(prop_3 U prop_1) -> (prop_2 & prop_4),(prop_3 U prop_1) -> F(prop_2 & prop_4)
8588,"Always keep ( prop_3 ) true, and either ( prop_1 ) or ( prop_2 ) should happen as well.",(prop_1 | prop_2) & G prop_3,G(prop_3 ) & F(prop_1 | prop_2 )
8589,Ensure you go to statue 6 and capture a photo of it while you stay in park 5,F(photo & statue_6) & G park_5,G(park_5 -> F(statue_6 & photo ))
8592,"Whenever the scenario that ( prop_1 ) gets observed , or ( prop_3 ) , ( prop_2 ) .",G((prop_1 | prop_3) -> G prop_2),G((prop_1 | prop_3) -> prop_2)
8593,"eventually, a sensor gathers information and, at some point in time either a car starts or a train derails afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(car_starts | train_derails)),F(sensor_gathers_information & F(car_starts | train_derails))
8594,ensure that you (prop_1),F prop_1,G(prop_1 )
8595,when possible ( prop_1 ) means that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
8596,"In the case ( prop_3 ) and ( prop_2 ) , there will be eventually a certain moment in the next 96 time units , at which the scenario that ( prop_1 ) must happen .",G((prop_2 & prop_3) -> GF prop_1),G((prop_3 & prop_2) -> F(prop_1))
8597,always ( prop_1 ) and whenever ( prop_2 ),G(prop_1 & F prop_2),G(prop_1 ) & G(prop_2 -> prop_2 )
8599,"If (prop_3) doesn't happen, then keep waiting until either (prop_1) or (prop_2) happens .",!prop_3 U (prop_1 | prop_2),G(!prop_3 -> (!prop_1 & !prop_2) U (prop_1 | prop_2))
8601,enter the blue or red_room and proceed until the green_room,F((blue_room | red_room) & F green_room),! (blue_room | red_room) | F ((blue_room | red_room) & (blue_room | red_room) U green_room)
8603,"Take a picture of statue_6 after reaching it, and make sure you stay within park_5",F(photo & statue_6) & G park_5,G(park_5 ) & G(statue_6 -> F(photo ))
8606,"In this task, communicate the injured_victim, then record unstable_beam.",communicate_injured_victim U record_unstable_beam,!communicate_injured_victim | F(communicate_injured_victim & F(record_unstable_beam))
8609,"If (prop_2) then do (prop_3), and always (prop_1) .",(prop_2 -> prop_3) & G prop_1,G((prop_2 -> prop_3) & prop_1)
8610,"If ( prop_4 ) is equivalent to ( prop_3 ) and also ( prop_1 ) happens, or else ( prop_2 ) .",prop_2 | (prop_1 & (prop_3 <-> prop_4)),G(((prop_4 <-> prop_3) & prop_1) | prop_2)
8614,when possible travel_to house can infer that do not let_go pear,F travel_to_house -> !let_go_pear,G(travel_to_house -> !let_go_pear)
8615,never ( prop_1 ) or whenever ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 -> prop_2 )
8619,If ( prop_1 ) and ( prop_4 ) are detected then implies ( prop_2 ) should happen or else if ( prop_3 ) is detected .,prop_3 | ((prop_1 & prop_4) -> prop_2),G((prop_1 & prop_4) -> F(prop_2 | prop_3))
8620,"If (prop_1) and (prop_2) occur, then ensure that (prop_3) always happens afterwards .",(prop_1 & prop_2) -> G prop_3,G((prop_1 & prop_2) -> G(prop_3))
8623,Take a video of the collision on north_3rd_avenue can only happen after change light_west yellow.,!record_collision_north_3rd_avenue U change_light_west_yellow,G(!record_collision_north_3rd_avenue U change_light_west_yellow)
8624,"If (prop_3) and (prop_2) are equivalent, then (prop_1) is always true .",(prop_2 <-> prop_3) -> G prop_1,G((prop_3 <-> prop_2) -> G(prop_1 ))
8625,"Either (prop_2) and (prop_1) happen at the same time, or always keep (prop_3) .",(prop_1 & prop_2) | G prop_3,F(prop_2 & prop_1) | G(prop_3)
8626,gather apple means that at some time visit house,gather_apple -> F visit_house,G(gather_apple -> F visit_house)
8628,"If ( prop_2 ) is equivalent to ( prop_1 ) and also ( prop_3 ) , then ( prop_4 ) .",(prop_3 & (prop_1 <-> prop_2)) -> prop_4,G(((prop_2 <-> prop_1) & prop_3) -> prop_4)
8630,"it will happen that a sensor gathers information and, it will happen that both the house is open and the elevator rises afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(elevator_rises & house_is_open)),F(sensor_gathers_information ) & F(house_is_open & F(elevator_rises ))
8633,when possible venture_to house means that venture_towards house,F venture_to_house -> venture_towards_house,G(venture_to_house -> venture_towards_house)
8634,The system must Please deliver_aid the injured_rescuer and then record injured_victim.,deliver_aid_injured_rescuer U record_injured_victim,!deliver_aid_injured_rescuer | F(deliver_aid_injured_rescuer & F(record_injured_victim))
8635,forever move_around until when possible travel house,G move_around U F travel_house,G(move_around U travel_house)
8636,when possible ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2)
8637,at any time ( prop_1 ) until never ( prop_2 ),F(prop_1 U G!prop_2),prop_1 U G(!prop_2)
8639,"If (prop_2), (prop_1) until (prop_3).",prop_2 -> (prop_1 U prop_3),G(prop_2 -> (prop_1 U prop_3))
8642,"If it is not the case that ( prop_1 ) is equivalent to ( prop_2 ) , then ( prop_3 ) .",!(prop_1 <-> prop_2) -> prop_3,G(!(prop_1 <-> prop_2) -> prop_3)
8644,"If ( prop_1 ) is equivalent to ( prop_4 ) or else ( prop_2 ) , then ( prop_3 ) .",(prop_2 | (prop_1 <-> prop_4)) -> prop_3,G(((prop_1 <-> prop_4) | prop_2) -> prop_3)
8645,never drop pear and when possible be_near tree,G!drop_pear & F be_near_tree,G(!drop_pear) & G(be_near_tree)
8646,( prop_1 ) until at some time ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2
8649,"If (prop_2) implies (prop_3), then it should always be the case that (prop_1) is true .",(prop_2 -> prop_3) -> G prop_1,G((prop_2 -> prop_3) -> prop_1)
8650,This controller must Please avoid the probable_fire_source and then deliver_aid the injured_hostile.,avoid_probable_fire_source U deliver_aid_injured_hostile,!avoid_probable_fire_source | F(avoid_probable_fire_source & F(deliver_aid_injured_hostile))
8652,forever ( prop_1 ) or whenever ( prop_2 ),G(prop_1 | F prop_2),G(prop_1 ) | G(prop_2 -> prop_2 )
8654,"For all time (prop_1) is true, or if (prop_3), then (prop_2) .",(prop_3 -> prop_2) | G prop_1,G(prop_1 | (prop_3 -> prop_2))
8655,keep apple or travel_to apple,keep_apple | travel_to_apple,G(keep_apple | travel_to_apple)
8657,"At some point during the coming time units ( prop_1 ) or ( prop_3 ) should happen , and also ( prop_2 ) .",prop_2 & F(prop_1 | prop_3),F((prop_1 | prop_3) & prop_2)
8658,"( prop_3 ) should not happen if ( prop_2 ) does happen , and ( prop_1 ) should also be true all the time . ",(prop_3 -> !prop_2) & G prop_1,G(prop_2 -> !prop_3) & G(prop_1)
8660,whenever bring pear can infer that never drop apple,F bring_pear -> G!drop_apple,G(bring_pear -> G(!drop_apple))
8662,whenever ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2),G(prop_1 | prop_2)
8665,"when at some time withold apple , forever go_by trash can",F withold_apple -> G go_by_trash_can,G(withold_apple -> G(go_by_trash_can))
8669,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,G(prop_1 & F prop_2)
8670,"at some point the bridge closes and, at some point both the car enters and the engine stops afterwards",G!bridge_closes | F(bridge_closes & F(car_enters & engine_stops)),F(bridge_closes) & F(car_enters & F(engine_stops))
8671,"(prop_1) is not observed, or do (prop_2) and (prop_3) .",!prop_1 | (prop_2 & prop_3),G(!prop_1 | (prop_2 & prop_3))
8672,"at some point the constructor creates instances and a motorbike has stopped and, in the future the sensor retrieves data or a train has been launched afterwards",G!(constructor_creates_instances & motorbike_has_stopped) | F(constructor_creates_instances & motorbike_has_stopped & F(sensor_retrieves_data | train_has_been_launched)),F((constructor_creates_instances & motorbike_has_stopped) & F(sensor_retrieves_data | F train_has_been_launched))
8673,"This controller must pickup the boat should always hold, with at most a two-step grace period for recovery.",!G!(pickup_boat & X pickup_boat),G(pickup_boat | X pickup_boat | X X pickup_boat)
8679,Either keep (prop_4) until (prop_3) or make sure that (prop_2) is equivalent to (prop_1) .,(prop_1 <-> prop_2) | (prop_4 U prop_3),(prop_4 U prop_3) | G(prop_2 <-> prop_1)
8681,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,G(venture_towards_house & !drop_apple)
8683,"first, at a certain moment the sensor retrieves data and the train is crossing, and then, finally, a bridge closes or the semaphore is broken",G!(sensor_retrieves_data & train_is_crossing) | F(sensor_retrieves_data & train_is_crossing & F(bridge_closes | semaphore_is_broken)),! (sensor_retrieves_data & train_is_crossing) | F ((sensor_retrieves_data & train_is_crossing) & F (bridge_closes | semaphore_is_broken))
8685,always ( prop_1 ) or when possible ( prop_2 ),G(prop_1 | F prop_2),G(prop_1 | prop_2)
8686,"If (prop_2) and (prop_4) are equivalent, and if (prop_1), then (prop_3) .",(prop_2 <-> prop_4) & (prop_1 -> prop_3),G(((prop_2 <-> prop_4) & prop_1) -> prop_3)
8687,"When the event that ( prop_1 ) does n't get observed , and ( prop_2 ) , then all of the following conditions hold : ( prop_3 ) then this condition ought to consistently sustain until there is a certain moment in the future , at which ( prop_4 ) .",G((prop_1 & prop_2) -> (prop_3 U prop_4)),G((! prop_1 & prop_2) -> (prop_3 U prop_4))
8688,"( prop_1 ) is equivalent to ( prop_2 ) , and also ( prop_3 ) .",prop_3 & (prop_1 <-> prop_2),G((prop_1 <-> prop_2) & prop_3)
8689,It is not the case that if ( prop_1 ) then ( prop_2 ) happens and this scenario will hold until ( prop_3 ) is detected .,!((prop_1 -> prop_2) U prop_3),!((prop_1 ) -> (prop_2 ) U (prop_3 ))
8692,at any time ( prop_1 ) and never ( prop_2 ),F(prop_1 & G!prop_2),G(prop_1 & !prop_2)
8694,If it is not the case that ( prop_2 ) or else ( prop_3 ) is detected then as a response ( prop_1 ) should be observed .,(!prop_2 | prop_3) -> prop_1,G(!(prop_2 | prop_3) -> F(prop_1))
8695,"If ( prop_4 ) is equivalent to ( prop_1 ) then ( prop_2 ) , and also ( prop_3 ) .",prop_3 & ((prop_1 <-> prop_4) -> prop_2),G((prop_4 <-> prop_1) -> (prop_2 & prop_3))
8696,when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2),prop_1 U prop_2
8700,at any time grab flag or repeatedly grab tree,F grab_flag | GF grab_tree,G(grab_flag | GF grab_tree)
8701,"If ( prop_4 ) and ( prop_1 ) happens and continues to happen until ( prop_3 ) is detected , then the scenario is equivalent to ( prop_2 ) .",prop_2 <-> ((prop_1 & prop_4) U prop_3),G(((prop_4 & prop_1) U prop_3) <-> prop_2)
8702,"when venture_to trash can , when possible go_to trash can",venture_to_trash_can -> F go_to_trash_can,G(venture_to_trash_can -> F(go_to_trash_can))
8703,"If avoid the inactive_gas_leak ever holds, communicate the injured_hostile must have held beforehand.",F avoid_inactive_gas_leak -> (!avoid_inactive_gas_leak U (!avoid_inactive_gas_leak & communicate_injured_hostile)),G(avoid_inactive_gas_leak -> (F(communicate_injured_hostile) R avoid_inactive_gas_leak))
8706,(prop_1),F prop_1,G(prop_1 )
8708,"first, in the future either a train stops or the motorbike has stopped, and then, at a certain moment a house is open and the elevator rises",G!(motorbike_has_stopped | train_stops) | F((motorbike_has_stopped | train_stops) & F(elevator_rises & house_is_open)),! (train_stops | motorbike_has_stopped) | F ((train_stops | motorbike_has_stopped) & F (house_is_open & elevator_rises))
8710,Take trash_can_4 from house_1 to garbage_dump_3,F(house_1 & F(p_trash_can_4 & F(garbage_dump_3 & pd))),F(pd & house_1 & p_trash_can_4 & F(pd & garbage_dump_3 & p_trash_can_4))
8711,"If (prop_3) occurs and continues until (prop_2), then if (prop_4) occurs, (prop_1) should also occur .",(prop_3 U prop_2) -> (prop_4 -> prop_1),G((prop_3 U prop_2) -> G(prop_4 -> prop_1))
8712,Keep visiting charger 4 as you keep taking a picture of area 5,GF charger_4 & GF(area_5 & photo),G((photo & area_5) -> charger_4)
8714,"For all time, (prop_1) is true, or else (prop_2) or (prop_3) is true .",prop_2 | prop_3 | G prop_1,G(prop_1 | prop_2 | prop_3)
8715,at the yellow_room or the red_room and head straight away to the green_room avoiding the yellow_room,F((red_room | yellow_room) & F green_room),(yellow_room | red_room) & F(green_room) & G(!yellow_room U green_room)
8717,whenever ( prop_1 ) can infer that forever ( prop_2 ),F prop_1 -> G prop_2,G(prop_1 -> G prop_2)
8719,If ( prop_4 ) and ( prop_1 ) or ( prop_3 ) then the above scenario is equivalent to ( prop_2 ) .,prop_2 <-> (prop_3 | (prop_1 & prop_4)),G(((prop_4 & prop_1) | prop_3) <-> prop_2)
8720,Always stay in locality 7 as you take letter 1 from office 4 to house 1,G locality_7 & F(office_4 & F(p_letter_1 & F(house_1 & pd))),G((p_letter_1 & office_4 & F house_1) -> locality_7)
8721,"Once (prop_1), (prop_2).",prop_1 -> prop_2,G(prop_1 -> F(prop_2))
8725,"first, sooner or later a table is old or the bar has to be repaired, and then, it will happen that a sensor retrieves data or the manager collect claims",G!(bar_has_to_be_repaired | table_is_old) | F((bar_has_to_be_repaired | table_is_old) & F(manager_collect_claims | sensor_retrieves_data)),! (table_is_old | bar_has_to_be_repaired) | F ((table_is_old | bar_has_to_be_repaired) & F (sensor_retrieves_data | manager_collect_claims))
8726,"Whenever ( prop_2 ) , and ( prop_1 ) then the following condition holds : ultimately at sometime in the future before the simulation ends , without interruption ( prop_3 ) .",G((prop_1 & prop_2) -> FG prop_3),G((prop_2 & prop_1) -> F(prop_3))
8727,"It should be that (prop_2) is equivalent to (prop_3), or else (prop_1) is not true .",!prop_1 | (prop_2 <-> prop_3),G((prop_2 <-> prop_3) | !prop_1)
8729,forever ( prop_1 ) or whenever ( prop_2 ),G(prop_1 | F prop_2),G(prop_1 ) | G(prop_2 -> prop_2 )
8731,"sooner or later the car starts and the bar is down and, at some point a train has arrived afterwards",G!(bar_is_down & car_starts) | F(bar_is_down & car_starts & F train_has_arrived),F((car_starts & bar_is_down) & F(train_has_arrived))
8732,put_in apple bucket until at any time proceed_to flag,put_in_apple_bucket U F proceed_to_flag,put_in_apple_bucket U proceed_to_flag
8733,In the case ( prop_3 ) or ( prop_1 ) then ( prop_2 ) .,G((prop_1 | prop_3) -> G prop_2),G((prop_3 | prop_1) -> prop_2)
8734,put_in bucket means that capture orange,put_in_bucket -> capture_orange,G(put_in_bucket -> capture_orange)
8739,at some time journey_by house can infer that go_to bucket,F journey_by_house -> go_to_bucket,F(journey_by_house -> F go_to_bucket)
8740,in the future an elevator rises and a bridge opens after the semaphore is yellow,G(semaphore_is_yellow -> F(bridge_opens & elevator_rises)),F(semaphore_is_yellow -> F(elevator_rises & bridge_opens))
8741,"If both (prop_1) and (prop_2) happen at some point, then keep them until (prop_3) and (prop_4) both happen .",(prop_1 & prop_2) U (prop_3 & prop_4),G((prop_1 & prop_2) -> ((prop_1 & prop_2) U (prop_3 & prop_4)))
8743,"Once deliver the bird to the loading_dock has occurred, search the car will never occur again.",G(deliver_bird_loading_dock -> XG!search_car),G(deliver_bird_loading_dock -> G(!search_car))
8745,"If both (prop_1) and (prop_2) happen, then eventually (prop_3) should happen as well.",(prop_1 & prop_2) -> F prop_3,G((prop_1 & prop_2) -> F(prop_3))
8747,"For all time steps (prop_3), should be equivalent to the scenario in which (prop_2) or (prop_1) happens .",(prop_1 | prop_2) <-> G prop_3,G(prop_3 <-> (prop_2 | prop_1))
8750,pass through either the blue or yellow_room to reach the green_room,F((blue_room | yellow_room) & F green_room),! (blue_room | yellow_room) | F ((blue_room | yellow_room) & F green_room)
8751,The scenario in which if at some point ( prop_1 ) or ( prop_4 ) then ( prop_3 ) is equivalent to the scenario in which ( prop_2 ) .,prop_2 <-> ((prop_1 | prop_4) -> prop_3),(F((prop_1 | prop_4) -> prop_3)) <-> prop_2
8752,"Globally , everytime when ( prop_3 ) until ( prop_1 ) , then the following condition holds : there will have to be eventually a certain time point in the future , after which ( prop_2 ) .",G((prop_3 U prop_1) -> FG prop_2),G((prop_3 U prop_1) -> F(F prop_2))
