Index,Requirement,Ground Truth,Response,Equivalent
8408,"It is not the case that ( prop_2 ) and ( prop_3 ) happen at the same time , and instead ( prop_1 ) .",prop_1 & !(prop_2 & prop_3),G(!(prop_2 & prop_3) & prop_1),False
8409,at any time both the constructor creates instances and a sensor gathers information,G(constructor_creates_instances & sensor_gathers_information),G(constructor_creates_instances & sensor_gathers_information),True
8410,"Globally , if ( prop_1 ) , then in response there will be sometime in the future , at which ( prop_2 ) , till then ( prop_3 ) .",G(prop_1 -> (prop_2 U prop_3)),G(prop_1 -> (prop_3 U prop_2)),False
8411,repeatedly ( prop_1 ) and ( prop_2 ),G(prop_2 & F prop_1),GF(prop_1 & prop_2),False
8412,"If pickup the traffic_light ever holds, search the refrigerator must have held beforehand.",F pickup_traffic_light -> (!pickup_traffic_light U (!pickup_traffic_light & search_refrigerator)),!pickup_traffic_light | F(search_refrigerator & F(pickup_traffic_light)),False
8413,at some time get_hold apple or at any time get_close flag,F get_hold_apple | F get_close_flag,F get_hold_apple | F get_close_flag,True
8414,advance_to tree until advance_to tree,advance_to_tree,advance_to_tree U advance_to_tree,True
8415,"From some point onwards, change light_south green never occurs again.",FG!change_light_south_green,F(G(!change_light_south_green )),True
8416,"Whenever neither pickup the carrot nor deliver the bicycle to the shelf holds, search the bed eventually holds.",G(!(deliver_bicycle_shelf & pickup_carrot) -> F search_bed),G((!pickup_carrot & !deliver_bicycle_shelf) -> F search_bed),False
8417,"During the interval that ( prop_2 ) , and ( prop_3 ) then the condition that ( prop_1 ) ought n't to be true .",G((prop_2 & prop_3) -> !F prop_1),G((prop_2 & prop_3) -> !prop_1),False
8418,"it should not happen that either the escalator speeds up, the constructor instantiate objects or the bar has to be repaired",G!(bar_has_to_be_repaired | constructor_instantiate_objects | escalator_speeds_up),G(!(escalator_speeds_up | constructor_instantiate_objects | bar_has_to_be_repaired)),True
8419,"If you do (prop_2), then you should do (prop_1), or else don't do (prop_3) .",!prop_3 | (prop_2 -> prop_1),G(prop_2 -> (prop_1 | !prop_3)),False
8420,never drop apple and approach tree,approach_tree & G!drop_apple,G(!(drop_apple & approach_tree)),False
8421,"Continue staying in park_5 until you photograph monument_2, and then move to intersection_5 and remain there",park_5 U (monument_2 & photo & F(intersection_5 & G intersection_5)),(park_5 U (photo & monument_2)) & F(G intersection_5),True
8422,"It is always the case that if ( prop_3 ) and ( prop_1 ) , then all of the following conditions hold : in the future before the end of the simulation , continuously ( prop_2 ) .",G((prop_1 & prop_3) -> G prop_2),G((prop_3 & prop_1) -> F G prop_2),False
8423,"If (prop_3) is always true, then if (prop_2), (prop_1) should also be true .",G prop_3 -> (prop_2 -> prop_1),G(prop_3 ) -> G(prop_2 -> prop_1 ),False
8424,"first, sooner or later both the brake is released and the bar is up, and then, eventually, either a semaphore is green or the bar is closing",G!(bar_is_up & brake_is_released) | F(bar_is_up & brake_is_released & F(bar_is_closing | semaphore_is_green)),! (brake_is_released & bar_is_up) | F ((brake_is_released & bar_is_up) & F (semaphore_is_green | bar_is_closing)),False
8425,"when at some time ( prop_1 ) , whenever ( prop_2 )",F prop_1 -> F prop_2,F(prop_1 & G(prop_2)),False
8426,always ( prop_1 ) or ( prop_2 ),G(prop_1 | prop_2),G(prop_1 | prop_2),True
8427,whenever ( prop_1 ) and at some time ( prop_2 ),F(prop_1 & F prop_2),G(prop_1 -> F prop_2),False
8428,"Whenever pickup the wine_glass holds, from the next step onwards pickup the skateboard will eventually hold.",G(pickup_wine_glass -> XF pickup_skateboard),G(pickup_wine_glass -> X F pickup_skateboard),True
8429,grab_hold pear can infer that when possible start_going_to house,grab_hold_pear -> F start_going_to_house,G(grab_hold_pear -> F(start_going_to_house)),False
8430,Take a picture of statue 6 and then go to bench 4 and stay there,F(photo & statue_6 & F(bench_4 & G bench_4)),! (photo & statue_6) | F ((photo & statue_6) & F (G (bench_4))),False
8431,"absolutely never, the sensor retrieves data and the bridge closes",G!(bridge_closes & sensor_retrieves_data),G(!(sensor_retrieves_data & bridge_closes)),True
8432,Remain in locality_6 until you take package_3 from store_8 and deliver it to house_5,locality_6 U (store_8 & F(p_package_3 & F(house_5 & pd))),locality_6 U (p_package_3 & store_8 & F(p_package_3 & house_5)),False
8433,"eternally, a car starts and together an elevator is open and the constructor creates instances",G(car_starts & constructor_creates_instances & elevator_is_open),G(car_starts & elevator_is_open & constructor_creates_instances ),True
8434,"It is not the case that ( prop_3 ) happens and continues to happen until ( prop_2 ) , or else ( prop_1 ) .",prop_1 | !(prop_3 U prop_2),!((prop_3 U prop_2) | prop_1),False
8435,"If not (prop_1), then both (prop_3) and (prop_2) .",!prop_1 -> (prop_2 & prop_3),G(!prop_1 -> (prop_3 & prop_2)),False
8436,"If it is not the case that ( prop_3 ) happens and continues to happen until ( prop_1 ) is detected , then ( prop_2 ) .",!(prop_3 U prop_1) -> prop_2,! (prop_3 U prop_1) -> prop_2,True
8437,"eternally, a table is old and, at the same time, an elevator falls and a motorbike is driven",G(elevator_falls & motorbike_is_driven & table_is_old),G(table_is_old & elevator_falls & motorbike_is_driven),True
8438,Get help can only happen after change light_south red.,!get_help U change_light_south_red,G(!get_help U change_light_south_red),False
8439,The scenario in which (prop_3) and (prop_2) is equivalent to the scenario in which (prop_1) does not happen .,!prop_1 <-> (prop_2 & prop_3),(prop_3 & prop_2) <-> (!prop_1),True
8440,"Globally , if ( prop_3 ) , and the event that ( prop_2 ) occurs then ( prop_4 ) and ( prop_1 ) .",G((prop_2 & prop_3) -> (prop_1 & prop_4)),G((prop_3 & prop_2) -> (prop_4 & prop_1)),True
8441,The scenario in which (prop_1) happens and continues until (prop_2) happens is equivalent to the scenario in which (prop_3) does not happen .,!prop_3 <-> (prop_1 U prop_2),(prop_1 U prop_2) <-> G(!prop_3),False
8442,"If at some point ( prop_3 ) is equivalent to ( prop_2 ) and this scenario continues until ( prop_1 ) is detected , then ( prop_4 ) .",((prop_2 <-> prop_3) U prop_1) -> prop_4,F((prop_3 <-> prop_2) U prop_1) -> prop_4,False
8444,The system must Please go_home and then avoid the active_flood.,go_home U avoid_active_flood,!go_home | F(go_home & F(avoid_active_flood)),False
8445,"( prop_1 ) should not happen , and ( prop_2 ) is equal to ( prop_3 ) .",!prop_1 & (prop_2 <-> prop_3),G(!prop_1 ) & G(prop_2 <-> prop_3 ),False
8446,"if ( prop_1 ) , ( prop_2 )",prop_1 -> prop_2,G(prop_1 -> prop_2),False
8447,"It is always the case that if (prop_1), then (prop_3), which is equivalent to saying that (prop_2) is true for all time .",(prop_1 -> prop_3) <-> G prop_2,G((prop_1 -> prop_3) <-> G prop_2),False
8448,"eternally, either the bar is up or the engine stops",G(bar_is_up | engine_stops),G(bar_is_up | engine_stops),True
8449,"Globally , in case that the scenario that ( prop_3 ) gets observed , then the following condition holds : there will be a time in the future before the end of the execution , at which ultimately ( prop_1 ) , and before that ( prop_2 ) .",G(prop_3 -> (prop_1 U prop_2)),G(prop_3 -> F(prop_2 U prop_1)),False
8450,"Either (prop_3) or (prop_4) happens, and at the same time, either (prop_1) or (prop_2) happens .",(prop_3 | prop_4) & (prop_1 | prop_2),F((prop_3 | prop_4) & (prop_1 | prop_2)),False
8451,"If (prop_4) is equivalent to (prop_3), then (prop_1) should be equivalent to (prop_2) .",(prop_3 <-> prop_4) -> (prop_1 <-> prop_2),G((prop_4 <-> prop_3) -> (prop_1 <-> prop_2)),False
8452,"a train derails implies that as the brake is released, at some point in time the semaphore is yellow",G(train_derails -> G(brake_is_released -> F semaphore_is_yellow)),G(train_derails -> (brake_is_released -> F semaphore_is_yellow)),False
8453,"If ( prop_1 ) implies ( prop_4 ), then this scenario is equivalent to the one where ( prop_2 ) happens until ( prop_3 ) happens.",(prop_1 -> prop_4) <-> (prop_2 U prop_3),(prop_1 -> prop_4) <-> (prop_2 U prop_3),True
8454,when possible contact house means that take_to tree,F contact_house -> take_to_tree,G(contact_house -> F(take_to_tree)),False
8455,at any time a table is old and the elevator rises,G(elevator_rises & table_is_old),G(table_is_old & elevator_rises),True
8456,Stay in county 4 and keep taking package 4 from office 3 to office 8,G county_4 & GF(office_3 & F(p_package_4 & F(office_8 & pd))),G(county_4 & F(p_package_4 & office_3 & F(p_package_4 & office_8))),False
8457,"Globally , in case that ( prop_3 ) and the event that ( prop_1 ) occurs then all of the following conditions hold : without interruption ( prop_2 ) .",G((prop_1 & prop_3) -> G prop_2),G((prop_3 & prop_1) -> G(prop_2)),True
8458,Our agent must always have either change light_east red or record the jaywalker on southwest_10th_street.,G(change_light_east_red | record_jaywalker_southwest_10th_street),G(change_light_east_red | record_jaywalker_southwest_10th_street),True
8459,at some time go_to house and forever go_by trash can,F go_to_house & G go_by_trash_can,F(go_to_house & G go_by_trash_can),False
8460,"every time both the sensor captures data and the motorbike falls down then forever, the semaphore is yellow",G((motorbike_falls_down & sensor_captures_data) -> G semaphore_is_yellow),G((sensor_captures_data & motorbike_falls_down) -> G(semaphore_is_yellow)),True
8461,at any time move_forward trash can and at some time go_near pear,F move_forward_trash_can & F go_near_pear,G(move_forward_trash_can ) & F(go_near_pear ),False
8462,at some time track_towards tree or whenever have pear,F track_towards_tree | F have_pear,F(track_towards_tree ) | G(have_pear -> track_towards_tree ),False
8463,"( prop_3 ) should not happen if ( prop_1 ) does not happen , and ( prop_2 ) should also be true all the time . ",(!prop_3 -> !prop_1) & G prop_2,(G(!prop_1 -> G(!prop_3))) & G(prop_2 ),False
8464,"If either (prop_1) or (prop_2) happens, then either (prop_3) or (prop_4) should happen as well.",(prop_1 | prop_2) -> (prop_3 | prop_4),G((prop_1 | prop_2) -> F(prop_3 | prop_4)),False
8465,Ensure you at park_8 and remain in that location forever,FG park_8,F(park_8 & G park_8),True
8466,at any time acquire pear and at any time be_near tree,F acquire_pear & F be_near_tree,G(acquire_pear & be_near_tree),False
8467,move to the green_room,F green_room,F green_room,True
8468,"( prop_1 ) and ( prop_3 ) should happen at the same time , and in the same time ( prop_2 ) does not happen .",prop_1 & !prop_2 & prop_3,F(prop_1 & prop_3 & !prop_2),False
8469,The system must always maintain both deliver the potted_plant to the shelf and get_help.,G(deliver_potted_plant_shelf & get_help),G(deliver_potted_plant_shelf & get_help),True
8470,"Globally , whenever ( prop_3 ) or ( prop_1 ) then in response simultaneously ( prop_2 ) .",G((prop_1 | prop_3) -> prop_2),G((prop_3 | prop_1) -> prop_2),True
8471,whenever touch house until at some time procure orange,F touch_house U F procure_orange,G(touch_house -> F procure_orange),False
8472,"If it is not the case that (prop_1), then either (prop_3) or (prop_2) should happen .",!prop_1 -> (prop_2 | prop_3),G(!prop_1 -> F(prop_3 | prop_2)),False
8473,"It is always the case that while ( prop_2 ) and ( prop_3 ) , then the following condition holds : at a time in the future before the execution ends , without interruption ( prop_1 ) .",G((prop_2 & prop_3) -> FG prop_1),G((prop_2 & prop_3) -> F(prop_1)),False
8474,Begin recording safe_rescuer and go_home will each happen at some point.,F record_safe_rescuer & F go_home,F(record_safe_rescuer) & F(go_home),True
8475,( prop_1 ) or ( prop_2 ),prop_1 | prop_2,( prop_1 ) | ( prop_2 ),True
8476,Keep visiting intersection 4 as you proceed to locality 9,GF intersection_4 & F locality_9,G(locality_9 -> (intersection_4 U locality_9)),False
8477,at any time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2),G(prop_1 | prop_2),False
8478,it is always the case that the brake is pressed or the motorbike catches fire or the car starts,G(brake_is_pressed | car_starts | motorbike_catches_fire),G(brake_is_pressed | motorbike_catches_fire | car_starts),True
8479,"If (prop_3) holds until (prop_1), then make sure (prop_2) and (prop_4) both happen .",(prop_3 U prop_1) -> (prop_2 & prop_4),(prop_3 U prop_1) -> F(prop_2 & prop_4),False
8480,"Always keep ( prop_3 ) true, and either ( prop_1 ) or ( prop_2 ) should happen as well.",(prop_1 | prop_2) & G prop_3,G(prop_3 ) & F(prop_1 | prop_2 ),False
8481,Ensure you go to statue 6 and capture a photo of it while you stay in park 5,F(photo & statue_6) & G park_5,G(park_5 -> F(statue_6 & photo )),False
8482,"The system must Eventually, both idle and pickup the toaster hold simultaneously.",F(idle & pickup_toaster),F (idle & pickup_toaster ),True
8483,"Whenever the scenario that ( prop_1 ) gets observed , or ( prop_3 ) , ( prop_2 ) .",G((prop_1 | prop_3) -> G prop_2),G((prop_1 | prop_3) -> prop_2),False
8484,"eventually, a sensor gathers information and, at some point in time either a car starts or a train derails afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(car_starts | train_derails)),F(sensor_gathers_information & F(car_starts | train_derails)),False
8485,ensure that you (prop_1),F prop_1,G(prop_1 ),False
8486,when possible ( prop_1 ) means that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2),False
8487,always ( prop_1 ) and whenever ( prop_2 ),G(prop_1 & F prop_2),G(prop_1 ) & G(prop_2 -> prop_2 ),False
8488,"whenever both the engine starts and a semaphore is broken then finally, the constructor creates instances or the motorbike falls down",G((engine_starts & semaphore_is_broken) -> F(constructor_creates_instances | motorbike_falls_down)),G((engine_starts & semaphore_is_broken) -> F(constructor_creates_instances | motorbike_falls_down)),True
8489,"If (prop_3) doesn't happen, then keep waiting until either (prop_1) or (prop_2) happens .",!prop_3 U (prop_1 | prop_2),G(!prop_3 -> (!prop_1 & !prop_2) U (prop_1 | prop_2)),False
8490,every time both a semaphore is green and the engine starts then it is going to happen that a train has arrived,G((engine_starts & semaphore_is_green) -> F train_has_arrived),G((semaphore_is_green & engine_starts) -> F(train_has_arrived)),True
8491,enter the blue or red_room and proceed until the green_room,F((blue_room | red_room) & F green_room),! (blue_room | red_room) | F ((blue_room | red_room) & (blue_room | red_room) U green_room),False
8492,every time either the manager handles requests or a table is old then it is always true that both an elevator is open and a train has been launched,G((manager_handles_requests | table_is_old) -> G(elevator_is_open & train_has_been_launched)),G((manager_handles_requests | table_is_old) -> G(elevator_is_open & train_has_been_launched)),True
8493,"Take a picture of statue_6 after reaching it, and make sure you stay within park_5",F(photo & statue_6) & G park_5,G(park_5 ) & G(statue_6 -> F(photo )),False
8494,if the train derails then at some point the manager collect claims and the engine breaks,G(train_derails -> F(engine_breaks & manager_collect_claims)),G(train_derails -> F(manager_collect_claims & engine_breaks)),True
8495,( prop_1 ) and never ( prop_2 ),prop_1 & G!prop_2,prop_1 & G(!prop_2 ),True
8496,"In this task, communicate the injured_victim, then record unstable_beam.",communicate_injured_victim U record_unstable_beam,!communicate_injured_victim | F(communicate_injured_victim & F(record_unstable_beam)),False
8497,"Either deliver the person to the shelf happens infinitely often, or deliver the sink to the shelf happens in the next step.",GF deliver_person_shelf | X deliver_sink_shelf,GF(deliver_person_shelf ) | X(deliver_sink_shelf ),True
8498,"it never happens that either the house collapses, the train derails or a bridge opens",G!(bridge_opens | house_collapses | train_derails),G(!(house_collapses | train_derails | bridge_opens)),True
8499,"If (prop_2) then do (prop_3), and always (prop_1) .",(prop_2 -> prop_3) & G prop_1,G((prop_2 -> prop_3) & prop_1),False
8500,"If ( prop_4 ) is equivalent to ( prop_3 ) and also ( prop_1 ) happens, or else ( prop_2 ) .",prop_2 | (prop_1 & (prop_3 <-> prop_4)),G(((prop_4 <-> prop_3) & prop_1) | prop_2),False
8501,"If ( prop_3 ) happens, then ( prop_1 ) will have to last until ( prop_2 ) happens.",G(prop_3 -> (prop_1 U prop_2)),G(prop_3 -> (prop_1 U prop_2)),True
8502,"Either record unsafe_civilian happens infinitely often, or record fire_source happens in the next step.",GF record_unsafe_civilian | X record_fire_source,GF(record_unsafe_civilian ) | X(record_fire_source ),True
8503,Call for help and idle will each happen at some point.,F get_help & F idle,F get_help & F idle,True
8504,when possible travel_to house can infer that do not let_go pear,F travel_to_house -> !let_go_pear,G(travel_to_house -> !let_go_pear),False
8505,never ( prop_1 ) or whenever ( prop_2 ),G(!prop_1 | F prop_2),G(!prop_1 ) | G(prop_2 -> prop_2 ),False
8506,it never happens that both the escalator speeds up and the car stops,G!(car_stops & escalator_speeds_up),G(!(escalator_speeds_up & car_stops)),True
8507,"If change light_south red holds and record the jaywalker on northeast_9th_street holds next, then change light_north red holds in the step after that.",G((change_light_south_red & X record_jaywalker_northeast_9th_street) -> XX change_light_north_red),G((change_light_south_red & X record_jaywalker_northeast_9th_street) -> X X change_light_north_red),True
8508,Go to park 8 and stay there,FG park_8,F(park_8 & G park_8),True
8509,If ( prop_1 ) and ( prop_4 ) are detected then implies ( prop_2 ) should happen or else if ( prop_3 ) is detected .,prop_3 | ((prop_1 & prop_4) -> prop_2),G((prop_1 & prop_4) -> F(prop_2 | prop_3)),False
8510,"If (prop_1) and (prop_2) occur, then ensure that (prop_3) always happens afterwards .",(prop_1 & prop_2) -> G prop_3,G((prop_1 & prop_2) -> G(prop_3)),False
8511,Stay in locality 9,G locality_9,G(locality_9 ),True
8512,it should not happen that the brake is released or the train has been launched after both the table is old and the house is built,G((house_is_built & table_is_old) -> G!(brake_is_released | train_has_been_launched)),G((table_is_old & house_is_built) -> G(!(brake_is_released | train_has_been_launched))),True
8513,Take a video of the collision on north_3rd_avenue can only happen after change light_west yellow.,!record_collision_north_3rd_avenue U change_light_west_yellow,G(!record_collision_north_3rd_avenue U change_light_west_yellow),False
8514,"If (prop_3) and (prop_2) are equivalent, then (prop_1) is always true .",(prop_2 <-> prop_3) -> G prop_1,G((prop_3 <-> prop_2) -> G(prop_1 )),False
8515,"Either (prop_2) and (prop_1) happen at the same time, or always keep (prop_3) .",(prop_1 & prop_2) | G prop_3,F(prop_2 & prop_1) | G(prop_3),False
8516,gather apple means that at some time visit house,gather_apple -> F visit_house,G(gather_apple -> F visit_house),False
8517,"in the future the brake is pressed, the bar is down and the motorbike is driven",F(bar_is_down & brake_is_pressed & motorbike_is_driven),F(brake_is_pressed & bar_is_down & motorbike_is_driven),True
8518,"If ( prop_2 ) is equivalent to ( prop_1 ) and also ( prop_3 ) , then ( prop_4 ) .",(prop_3 & (prop_1 <-> prop_2)) -> prop_4,G(((prop_2 <-> prop_1) & prop_3) -> prop_4),False
8519,"every time an elevator is open or the bar is closing then absolutely never, both an elevator rises and a train has arrived",G((bar_is_closing | elevator_is_open) -> G!(elevator_rises & train_has_arrived)),G((elevator_is_open | bar_is_closing) -> G(!(elevator_rises & train_has_arrived))),True
8520,"it will happen that a sensor gathers information and, it will happen that both the house is open and the elevator rises afterwards",G!sensor_gathers_information | F(sensor_gathers_information & F(elevator_rises & house_is_open)),F(sensor_gathers_information ) & F(house_is_open & F(elevator_rises )),False
8521,at some point either the brake is pressed or the escalator speeds up,F(brake_is_pressed | escalator_speeds_up),F(brake_is_pressed | escalator_speeds_up),True
8522,Reach intersection 4 and remain there indefinitely,FG intersection_4,F(intersection_4 & G intersection_4),True
8523,when possible venture_to house means that venture_towards house,F venture_to_house -> venture_towards_house,G(venture_to_house -> venture_towards_house),False
8524,The system must Please deliver_aid the injured_rescuer and then record injured_victim.,deliver_aid_injured_rescuer U record_injured_victim,!deliver_aid_injured_rescuer | F(deliver_aid_injured_rescuer & F(record_injured_victim)),False
8525,forever move_around until when possible travel house,G move_around U F travel_house,G(move_around U travel_house),False
8526,when possible ( prop_1 ) can infer that ( prop_2 ),F prop_1 -> prop_2,G(prop_1 -> prop_2),False
8527,at any time ( prop_1 ) until never ( prop_2 ),F(prop_1 U G!prop_2),prop_1 U G(!prop_2),False
8528,"From some point onwards, get_help never occurs again.",FG!get_help,F(G(!get_help )),True
8529,"If (prop_2), (prop_1) until (prop_3).",prop_2 -> (prop_1 U prop_3),G(prop_2 -> (prop_1 U prop_3)),False
8530,at some time ( prop_1 ) or ( prop_2 ),F(prop_1 | prop_2),F (prop_1 | prop_2 ),True
8532,"If it is not the case that ( prop_1 ) is equivalent to ( prop_2 ) , then ( prop_3 ) .",!(prop_1 <-> prop_2) -> prop_3,G(!(prop_1 <-> prop_2) -> prop_3),False
8533,"Whenever record injured_person and avoid the nearest_flood are equal, avoid the nearest_flood and go_home are equal as well.",G((avoid_nearest_flood <-> record_injured_person) -> (avoid_nearest_flood <-> go_home)),G((record_injured_person <-> avoid_nearest_flood) -> (avoid_nearest_flood <-> go_home)),True
8534,"If ( prop_1 ) is equivalent to ( prop_4 ) or else ( prop_2 ) , then ( prop_3 ) .",(prop_2 | (prop_1 <-> prop_4)) -> prop_3,G(((prop_1 <-> prop_4) | prop_2) -> prop_3),False
8535,never drop pear and when possible be_near tree,G!drop_pear & F be_near_tree,G(!drop_pear) & G(be_near_tree),False
8536,( prop_1 ) until at some time ( prop_2 ),prop_1 U F prop_2,prop_1 U prop_2,False
8537,"From some point onwards, change light_west green never occurs again.",FG!change_light_west_green,F(G(!change_light_west_green )),True
8538,Stay in parking_lot_4 until you capture a picture of car_5.,parking_lot_4 U (car_5 & photo),parking_lot_4 U (photo & car_5),True
8539,"If (prop_2) implies (prop_3), then it should always be the case that (prop_1) is true .",(prop_2 -> prop_3) -> G prop_1,G((prop_2 -> prop_3) -> prop_1),False
8540,This controller must Please avoid the probable_fire_source and then deliver_aid the injured_hostile.,avoid_probable_fire_source U deliver_aid_injured_hostile,!avoid_probable_fire_source | F(avoid_probable_fire_source & F(deliver_aid_injured_hostile)),False
8541,"Globally , everytime when ( prop_3 ) , and ( prop_2 ) then all of the following conditions are true : at the same moment ( prop_1 ) and ( prop_4 ) .",G((prop_2 & prop_3) -> (prop_1 & prop_4)),G((prop_3 & prop_2) -> (prop_1 & prop_4)),True
8542,forever ( prop_1 ) or whenever ( prop_2 ),G(prop_1 | F prop_2),G(prop_1 ) | G(prop_2 -> prop_2 ),False
8543,always when the escalator is blocked and the escalator moves then at some point in time the train derails,G((escalator_is_blocked & escalator_moves) -> F train_derails),G((escalator_is_blocked & escalator_moves) -> F(train_derails)),True
8544,"For all time (prop_1) is true, or if (prop_3), then (prop_2) .",(prop_3 -> prop_2) | G prop_1,G(prop_1 | (prop_3 -> prop_2)),False
8545,keep apple or travel_to apple,keep_apple | travel_to_apple,G(keep_apple | travel_to_apple),False
8546,"always when the sensor retrieves data or a semaphore is yellow then eventually, the table has been moved and an elevator is blocked",G((semaphore_is_yellow | sensor_retrieves_data) -> F(elevator_is_blocked & table_has_been_moved)),G((sensor_retrieves_data | semaphore_is_yellow) -> F(table_has_been_moved & elevator_is_blocked)),True
8547,"( prop_3 ) should not happen if ( prop_2 ) does happen , and ( prop_1 ) should also be true all the time . ",(prop_3 -> !prop_2) & G prop_1,G(prop_2 -> !prop_3) & G(prop_1),False
8548,"If (prop_3) is equivalent to (prop_2), then at some point (prop_1) should happen .",(prop_2 <-> prop_3) -> F prop_1,(prop_3 <-> prop_2) -> F prop_1,True
8549,whenever bring pear can infer that never drop apple,F bring_pear -> G!drop_apple,G(bring_pear -> G(!drop_apple)),False
8550,whenever both a train stops and a sensor gathers information then all the time either a manager collect claims or a sensor gathers information,G((sensor_gathers_information & train_stops) -> G(manager_collect_claims | sensor_gathers_information)),G((train_stops & sensor_gathers_information) -> G(manager_collect_claims | sensor_gathers_information)),True
8551,whenever ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2),G(prop_1 | prop_2),False
8552,"At some point, start (prop_1)",F prop_1,F prop_1,True
8553,If (prop_2) then (prop_3) if and only if (prop_1) then (prop_4) .,(prop_2 -> prop_3) <-> (prop_1 -> prop_4),(prop_2 -> prop_3) <-> (prop_1 -> prop_4),True
8554,"when at some time withold apple , forever go_by trash can",F withold_apple -> G go_by_trash_can,G(withold_apple -> G(go_by_trash_can)),False
8555,"Deliver the vase to the shelf and pickup the broccoli never coincide, yet one of them is always true.",G!(deliver_vase_shelf & pickup_broccoli) & G(deliver_vase_shelf | pickup_broccoli),G(!(deliver_vase_shelf & pickup_broccoli) & (deliver_vase_shelf | pickup_broccoli)),True
8556,"Either idle happens infinitely often, or get_help happens in the next step.",GF idle | X get_help,GF idle | X get_help,True
8557,"When deliver_aid the injured_rescuer happens, go_home must hold now or in the next step.",G(deliver_aid_injured_rescuer -> (go_home | X go_home)),G(deliver_aid_injured_rescuer -> (go_home | X go_home)),True
8558,( prop_1 ) and when possible ( prop_2 ),prop_1 & F prop_2,G(prop_1 & F prop_2),False
8559,"at some point the bridge closes and, at some point both the car enters and the engine stops afterwards",G!bridge_closes | F(bridge_closes & F(car_enters & engine_stops)),F(bridge_closes) & F(car_enters & F(engine_stops)),False
8560,"(prop_1) is not observed, or do (prop_2) and (prop_3) .",!prop_1 | (prop_2 & prop_3),G(!prop_1 | (prop_2 & prop_3)),False
8561,"at some point the constructor creates instances and a motorbike has stopped and, in the future the sensor retrieves data or a train has been launched afterwards",G!(constructor_creates_instances & motorbike_has_stopped) | F(constructor_creates_instances & motorbike_has_stopped & F(sensor_retrieves_data | train_has_been_launched)),F((constructor_creates_instances & motorbike_has_stopped) & F(sensor_retrieves_data | F train_has_been_launched)),False
8562,"This controller must pickup the boat should always hold, with at most a two-step grace period for recovery.",!G!(pickup_boat & X pickup_boat),G(pickup_boat | X pickup_boat | X X pickup_boat),False
8563,"( prop_3 ) and ( prop_2 ) should happen at the same time , and this scenario should continue until ( prop_1 ) does not happen .",(prop_2 & prop_3) U !prop_1,(prop_3 & prop_2) U (!prop_1),True
8564,"You must Eventually, both get_help and idle hold simultaneously.",F(get_help & idle),F (get_help & idle ),True
8565,"Either if (prop_3) then (prop_2), or else always (prop_1) .",(prop_3 -> prop_2) | G prop_1,(prop_3 -> prop_2) | G(prop_1 ),True
8566,always both the car stops and the elevator is blocked implies that it should not happen that an elevator is blocked and the car starts,G((car_stops & elevator_is_blocked) -> G!(car_starts & elevator_is_blocked)),G((car_stops & elevator_is_blocked) -> G(!(elevator_is_blocked & car_starts))),True
8567,"it never happens that either the bar is down, the motorbike has started or the sensor captures data",G!(bar_is_down | motorbike_has_started | sensor_captures_data),G(!(bar_is_down | motorbike_has_started | sensor_captures_data)),True
8568,Either keep (prop_4) until (prop_3) or make sure that (prop_2) is equivalent to (prop_1) .,(prop_1 <-> prop_2) | (prop_4 U prop_3),(prop_4 U prop_3) | G(prop_2 <-> prop_1),False
8569,"In case that ( prop_1 ) , then the following condition holds : ( prop_2 ) .",G(prop_1 -> prop_2),G(prop_1 -> prop_2),True
8570,venture_towards house and never drop apple,venture_towards_house & G!drop_apple,G(venture_towards_house & !drop_apple),False
8571,Ensure that you never pick up box 3,G!p_box_3,G(!p_box_3 ),True
8572,"first, at a certain moment the sensor retrieves data and the train is crossing, and then, finally, a bridge closes or the semaphore is broken",G!(sensor_retrieves_data & train_is_crossing) | F(sensor_retrieves_data & train_is_crossing & F(bridge_closes | semaphore_is_broken)),! (sensor_retrieves_data & train_is_crossing) | F ((sensor_retrieves_data & train_is_crossing) & F (bridge_closes | semaphore_is_broken)),False
8573,"In case that the transition action that ( prop_4 ) takes place and ( prop_3 ) , then the following condition is true : ( prop_1 ) then uninterruptedly this condition will have to continue until there exists a certain time instant in the future before the simulation ends , at which ( prop_2 ) .",G((prop_3 & prop_4) -> (prop_1 U prop_2)),G((prop_4 & prop_3) -> (prop_1 U prop_2)),True
8574,always ( prop_1 ) or when possible ( prop_2 ),G(prop_1 | F prop_2),G(prop_1 | prop_2),False
8575,"If (prop_2) and (prop_4) are equivalent, and if (prop_1), then (prop_3) .",(prop_2 <-> prop_4) & (prop_1 -> prop_3),G(((prop_2 <-> prop_4) & prop_1) -> prop_3),False
8576,"When the event that ( prop_1 ) does n't get observed , and ( prop_2 ) , then all of the following conditions hold : ( prop_3 ) then this condition ought to consistently sustain until there is a certain moment in the future , at which ( prop_4 ) .",G((prop_1 & prop_2) -> (prop_3 U prop_4)),G((! prop_1 & prop_2) -> (prop_3 U prop_4)),False
8577,"( prop_1 ) is equivalent to ( prop_2 ) , and also ( prop_3 ) .",prop_3 & (prop_1 <-> prop_2),G((prop_1 <-> prop_2) & prop_3),False
