original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
at some point a sensor captures data and the engine stops after either the escalator is blocked or the engine stops;G(( escalator_is_blocked | engine_stops ) -> F( sensor_captures_data & engine_stops ));G((engine_stops | escalator_is_blocked) -> F(engine_stops & sensor_captures_data));['sensor_captures_data', 'escalator_is_blocked', 'engine_stops'];at some point a sensor_captures_data and the engine_stops after either the escalator_is_blocked or the engine_stops;;{'sensor_captures_data': 'ap_0', 'escalator_is_blocked': 'ap_1', 'engine_stops': 'ap_2'};G((ap_2 | ap_1) -> F(ap_2 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> F(prop & prop));G((prop | prop) -> F(prop & prop));0
Either pickup the cat or get_help happens infinitely often.;"G F ""pickup(cat)"" | G F ""get_help""";GF pickup_cat | GF get_help;['get_help', 'pickup_cat'];;;;GFap_1 | GFap_0;VLTL-Bench;GFprop | GFprop;GFprop | GFprop;0
hold_on_to pear and never let_go apple;"""hold_on_to(pear)"" & G ( ! ( ""let_go(apple)"" ) )";hold_on_to_pear & G!let_go_apple;['let_go_apple', 'hold_on_to_pear'];;;;ap_1 & G!ap_0;VLTL-Bench;prop & G!prop;prop & G!prop;0
in any case either the engine stops or a constructor creates instances;G( engine_stops | constructor_creates_instances );G(constructor_creates_instances | engine_stops);['constructor_creates_instances', 'engine_stops'];in any case either the engine_stops or a constructor_creates_instances;;{'constructor_creates_instances': 'ap_0', 'engine_stops': 'ap_1'};G(ap_0 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop | prop);G(prop | prop);0
it is going to happen that a bridge opens and, at the same time, a motorbike catches fire and a semaphore is green;F( bridge_opens & motorbike_catches_fire & semaphore_is_green );F(bridge_opens & motorbike_catches_fire & semaphore_is_green);['bridge_opens', 'motorbike_catches_fire', 'semaphore_is_green'];it is going to happen that a bridge_opens and, at the same time, a motorbike_catches_fire and a semaphore_is_green;;{'bridge_opens': 'ap_0', 'motorbike_catches_fire': 'ap_1', 'semaphore_is_green': 'ap_2'};F(ap_0 & ap_1 & ap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop & prop);F(prop & prop & prop);0
if at any time snatch pear , hold_on_to pear;"F ( ""snatch(pear)"" ) -> ""hold_on_to(pear)""";F snatch_pear -> hold_on_to_pear;['snatch_pear', 'hold_on_to_pear'];;;;Fap_0 -> ap_1;VLTL-Bench;Fprop -> prop;Fprop -> prop;0
come_to tree means that when possible make_way waste basket;"""come_to(tree)"" -> F ( ""make_way(waste_basket)"" )";come_to_tree -> F make_way_waste_basket;['make_way_waste_basket', 'come_to_tree'];;;;ap_1 -> Fap_0;VLTL-Bench;prop -> Fprop;prop -> Fprop;0
Idle must hold until handing over the surfboard to the loading_dock does, or else idle holds forever.;"( ""idle"" U ""deliver(surfboard,loading_dock)"" ) | G ""idle""";(idle U deliver_surfboard_loading_dock) | G idle;['idle', 'deliver_surfboard_loading_dock'];;;;(ap_0 U ap_1) | Gap_0;VLTL-Bench;(prop U prop) | Gprop;(prop U prop) | Gprop;0
at a certain moment both a constructor instantiate objects and the elevator rises and, at a certain moment the sensor retrieves data or a bridge closes afterwards;G(!( constructor_instantiate_objects & elevator_rises )) | F(( constructor_instantiate_objects & elevator_rises ) & F( sensor_retrieves_data | bridge_closes ));G!(constructor_instantiate_objects & elevator_rises) | F(constructor_instantiate_objects & elevator_rises & F(bridge_closes | sensor_retrieves_data));['constructor_instantiate_objects', 'elevator_rises', 'bridge_closes', 'sensor_retrieves_data'];at a certain moment both a constructor_instantiate_objects and the elevator_rises and, at a certain moment the sensor_retrieves_data or a bridge_closes afterwards;;{'constructor_instantiate_objects': 'ap_0', 'elevator_rises': 'ap_1', 'bridge_closes': 'ap_2', 'sensor_retrieves_data': 'ap_3'};G!(ap_0 & ap_1) | F(ap_0 & ap_1 & F(ap_2 | ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop | prop));G!(prop & prop) | F(prop & prop & F(prop | prop));0
repeatedly make_way_to house and at some time go_near pear;"G ( F ( ""make_way_to(house)"" ) ) & F ( ""go_near(pear)"" )";GF make_way_to_house & F go_near_pear;['go_near_pear', 'make_way_to_house'];;;;GFap_1 & Fap_0;VLTL-Bench;GFprop & Fprop;GFprop & Fprop;0
in any case either the train derails or the semaphore is yellow;G( train_derails | semaphore_is_yellow );G(semaphore_is_yellow | train_derails);['train_derails', 'semaphore_is_yellow'];in any case either the train_derails or the semaphore_is_yellow;;{'train_derails': 'ap_0', 'semaphore_is_yellow': 'ap_1'};G(ap_1 | ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop | prop);G(prop | prop);0
If change light_north red ever holds, record the vehicle on north_4th_avenue must have held beforehand.;"( F ""change(light_north,red)"" ) -> ( ! ""change(light_north,red)"" U ( ""record(vehicle,north_4th_avenue)"" & ! ""change(light_north,red)"" ) )";F change_light_north_red -> (!change_light_north_red U (!change_light_north_red & record_vehicle_north_4th_avenue));['change_light_north_red', 'record_vehicle_north_4th_avenue'];;;;Fap_0 -> (!ap_0 U (!ap_0 & ap_1));VLTL-Bench;Fprop -> (!prop U (!prop & prop));Fprop -> (!prop U (!prop & prop));0
every time the constructor instantiate objects and the engine stops then at a certain moment either a motorbike falls down or a constructor creates instances;G(( constructor_instantiate_objects & engine_stops ) -> F( motorbike_falls_down | constructor_creates_instances ));G((constructor_instantiate_objects & engine_stops) -> F(constructor_creates_instances | motorbike_falls_down));['constructor_instantiate_objects', 'motorbike_falls_down', 'constructor_creates_instances', 'engine_stops'];every time the constructor_instantiate_objects and the engine_stops then at a certain moment either a motorbike_falls_down or a constructor_creates_instances;;{'constructor_instantiate_objects': 'ap_0', 'motorbike_falls_down': 'ap_1', 'constructor_creates_instances': 'ap_2', 'engine_stops': 'ap_3'};G((ap_0 & ap_3) -> F(ap_2 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop | prop));G((prop & prop) -> F(prop | prop));0
it is always true that the engine starts and the table is old after either the engine starts or the train is crossing;G(( engine_starts | train_is_crossing ) -> G( engine_starts & table_is_old ));G((engine_starts | train_is_crossing) -> G(engine_starts & table_is_old));['train_is_crossing', 'table_is_old', 'engine_starts'];it is always true that the engine_starts and the table_is_old after either the engine_starts or the train_is_crossing;;{'train_is_crossing': 'ap_0', 'table_is_old': 'ap_1', 'engine_starts': 'ap_2'};G((ap_2 | ap_0) -> G(ap_2 & ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop & prop));G((prop | prop) -> G(prop & prop));0
Go to house 5 and remain there indefinitely;<>[]house_5;FG house_5;['house_5'];Go to house_5 and remain there indefinitely;{'house 5': 'house_5'};{'house_5': 'ap_0'};FGap_0;ConformalNL2LTL;FGprop;FGprop;0
it is going to happen that both a train derails and the manager handles requests and, it is going to happen that the manager collect claims and the semaphore is broken afterwards;G(!( train_derails & manager_handles_requests )) | F(( train_derails & manager_handles_requests ) & F( manager_collect_claims & semaphore_is_broken ));G!(manager_handles_requests & train_derails) | F(manager_handles_requests & train_derails & F(manager_collect_claims & semaphore_is_broken));['train_derails', 'manager_collect_claims', 'semaphore_is_broken', 'manager_handles_requests'];it is going to happen that both a train_derails and the manager_handles_requests and, it is going to happen that the manager_collect_claims and the semaphore_is_broken afterwards;;{'train_derails': 'ap_0', 'manager_collect_claims': 'ap_1', 'semaphore_is_broken': 'ap_2', 'manager_handles_requests': 'ap_3'};G!(ap_3 & ap_0) | F(ap_3 & ap_0 & F(ap_1 & ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop & prop));G!(prop & prop) | F(prop & prop & F(prop & prop));0
at some point the escalator moves or the manager collect claims and, eventually, either an elevator falls or the bar is up afterwards;G(!( escalator_moves | manager_collect_claims )) | F(( escalator_moves | manager_collect_claims ) & F( elevator_falls | bar_is_up ));G!(escalator_moves | manager_collect_claims) | F((escalator_moves | manager_collect_claims) & F(bar_is_up | elevator_falls));['bar_is_up', 'manager_collect_claims', 'elevator_falls', 'escalator_moves'];at some point the escalator_moves or the manager_collect_claims and, eventually, either an elevator_falls or the bar_is_up afterwards;;{'bar_is_up': 'ap_0', 'manager_collect_claims': 'ap_1', 'elevator_falls': 'ap_2', 'escalator_moves': 'ap_3'};G!(ap_3 | ap_1) | F((ap_3 | ap_1) & F(ap_0 | ap_2));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop) | F((prop | prop) & F(prop | prop));G!(prop | prop) | F((prop | prop) & F(prop | prop));0
at any time go_visit house and whenever get_hold apple;"F ( ""go_visit(house)"" ) & F ( ""get_hold(apple)"" )";F go_visit_house & F get_hold_apple;['go_visit_house', 'get_hold_apple'];;;;Fap_0 & Fap_1;VLTL-Bench;Fprop & Fprop;Fprop & Fprop;0
Ensure you never go to street 3 while traveling to building 4;[]!street_3&&<>building_4;G!street_3 & F building_4;['street_3', 'building_4'];Ensure you never go to street_3 while traveling to building_4;{'street 3': 'street_3', 'building 4': 'building_4'};{'street_3': 'ap_0', 'building_4': 'ap_1'};G!ap_0 & Fap_1;ConformalNL2LTL;G!prop & Fprop;G!prop & Fprop;0
it will happen that the train stops and a train is crossing;F( train_stops & train_is_crossing );F(train_is_crossing & train_stops);['train_is_crossing', 'train_stops'];it will happen that the train_stops and a train_is_crossing;;{'train_is_crossing': 'ap_0', 'train_stops': 'ap_1'};F(ap_0 & ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop & prop);F(prop & prop);0
at blue_room without going to green_room;"( F ( ""blue_room"" ) & G ( ! ""green_room"" ) )";F blue_room & G!green_room;['blue_room', 'green_room'];;;;Fap_0 & G!ap_1;VLTL-Bench;Fprop & G!prop;Fprop & G!prop;0
at the blue area through yellow area;"F ( ""yellow_room"" & F ""blue_room"" )";F(yellow_room & F blue_room);['blue_room', 'yellow_room'];;;;F(ap_1 & Fap_0);VLTL-Bench;F(prop & Fprop);F(prop & Fprop);0
first, sooner or later the bridge closes, and then, eventually, either the elevator is blocked or a house is open;G(!( bridge_closes )) | F(( bridge_closes ) & F( elevator_is_blocked | house_is_open ));G!bridge_closes | F(bridge_closes & F(elevator_is_blocked | house_is_open));['house_is_open', 'bridge_closes', 'elevator_is_blocked'];first, sooner or later the bridge_closes, and then, eventually, either the elevator_is_blocked or a house_is_open;;{'house_is_open': 'ap_0', 'bridge_closes': 'ap_1', 'elevator_is_blocked': 'ap_2'};G!ap_1 | F(ap_1 & F(ap_2 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop | prop));G!prop | F(prop & F(prop | prop));0
Never leave area_5;"G ""area_5""";G area_5;['area_5'];;;;Gap_0;VLTL-Bench;Gprop;Gprop;0
When photo the person on south_5th_avenue happens, photo the pedestrian on northwest_10th_street must hold now or in the next step.;"G ( ""photo(person,south_5th_avenue)"" -> ( ""photo(pedestrian,northwest_10th_street)"" | X ""photo(pedestrian,northwest_10th_street)"" ) )";G(photo_person_south_5th_avenue -> (photo_pedestrian_northwest_10th_street | X photo_pedestrian_northwest_10th_street));['photo_person_south_5th_avenue', 'photo_pedestrian_northwest_10th_street'];;;;G(ap_0 -> (ap_1 | Xap_1));VLTL-Bench;G(prop -> (prop | Xprop));G(prop -> (prop | Xprop));0
if repeatedly grab tree , whenever have pear;"G ( F ( ""grab(tree)"" ) ) -> F ( ""have(pear)"" )";GF grab_tree -> F have_pear;['grab_tree', 'have_pear'];;;;GFap_0 -> Fap_1;VLTL-Bench;GFprop -> Fprop;GFprop -> Fprop;0
always when an elevator rises and a train is crossing then at some point the engine starts and the bar is up;G(( elevator_rises & train_is_crossing ) -> F( engine_starts & bar_is_up ));G((elevator_rises & train_is_crossing) -> F(bar_is_up & engine_starts));['train_is_crossing', 'bar_is_up', 'elevator_rises', 'engine_starts'];always when an elevator_rises and a train_is_crossing then at some point the engine_starts and the bar_is_up;;{'train_is_crossing': 'ap_0', 'bar_is_up': 'ap_1', 'elevator_rises': 'ap_2', 'engine_starts': 'ap_3'};G((ap_2 & ap_0) -> F(ap_1 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop & prop));G((prop & prop) -> F(prop & prop));0
move_towards trash can until pick_up flag;"""move_towards(trash_can)"" U ""pick_up(flag)""";move_towards_trash_can U pick_up_flag;['pick_up_flag', 'move_towards_trash_can'];;;;ap_1 U ap_0;VLTL-Bench;prop U prop;prop U prop;0
first, sooner or later either a sensor retrieves data or the train has been launched, and then, finally, either the engine starts or an elevator is open;G(!( sensor_retrieves_data | train_has_been_launched )) | F(( sensor_retrieves_data | train_has_been_launched ) & F( engine_starts | elevator_is_open ));G!(sensor_retrieves_data | train_has_been_launched) | F((sensor_retrieves_data | train_has_been_launched) & F(elevator_is_open | engine_starts));['train_has_been_launched', 'engine_starts', 'sensor_retrieves_data', 'elevator_is_open'];first, sooner or later either a sensor_retrieves_data or the train_has_been_launched, and then, finally, either the engine_starts or an elevator_is_open;;{'train_has_been_launched': 'ap_0', 'engine_starts': 'ap_1', 'sensor_retrieves_data': 'ap_2', 'elevator_is_open': 'ap_3'};G!(ap_2 | ap_0) | F((ap_2 | ap_0) & F(ap_3 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop | prop) | F((prop | prop) & F(prop | prop));G!(prop | prop) | F((prop | prop) & F(prop | prop));0
Refrain from entering park 5 until after you get to intersection 4;!park_5 U intersection_4;!park_5 U intersection_4;['park_5', 'intersection_4'];Refrain from entering park_5 until after you get to intersection_4;{'park 5': 'park_5', 'intersection 4': 'intersection_4'};{'park_5': 'ap_0', 'intersection_4': 'ap_1'};!ap_0 U ap_1;ConformalNL2LTL;!prop U prop;!prop U prop;0
it is going to happen that either the train has arrived, a train stops or the table is brown;F( train_has_arrived | train_stops | table_is_brown );F(table_is_brown | train_has_arrived | train_stops);['table_is_brown', 'train_stops', 'train_has_arrived'];it is going to happen that either the train_has_arrived, a train_stops or the table_is_brown;;{'table_is_brown': 'ap_0', 'train_stops': 'ap_1', 'train_has_arrived': 'ap_2'};F(ap_0 | ap_2 | ap_1);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop | prop | prop);F(prop | prop | prop);0
Once record the car on east_2nd_street has occurred, photo the jaywalker on east_9th_street will never occur again.;"G ( ""record(car,east_2nd_street)"" -> X G ! ""photo(jaywalker,east_9th_street)"" )";G(record_car_east_2nd_street -> XG!photo_jaywalker_east_9th_street);['record_car_east_2nd_street', 'photo_jaywalker_east_9th_street'];;;;G(ap_0 -> XG!ap_1);VLTL-Bench;G(prop -> XG!prop);G(prop -> XG!prop);0
never let_go apple or take_to tree;"G ( ! ( ""let_go(apple)"" ) ) | ""take_to(tree)""";take_to_tree | G!let_go_apple;['let_go_apple', 'take_to_tree'];;;;ap_1 | G!ap_0;VLTL-Bench;prop | G!prop;prop | G!prop;0
Whenever get_help and idle are equal, idle and search the skis are equal as well.;"G ( ( ""get_help"" <-> ""idle"" ) -> ( ""idle"" <-> ""search(skis)"" ) )";G((get_help <-> idle) -> (idle <-> search_skis));['get_help', 'idle', 'search_skis'];;;;G((ap_0 <-> ap_1) -> (ap_1 <-> ap_2));VLTL-Bench;G((prop <-> prop) -> (prop <-> prop));G((prop <-> prop) -> (prop <-> prop));0
Take a picture at statue_5 after going there;"F ( ""statue_5"" & ""photo"" )";F(photo & statue_5);['photo', 'statue_5'];;;;F(ap_0 & ap_1);VLTL-Bench;F(prop & prop);F(prop & prop);0
forever hold_onto orange or repeatedly go_to waste basket;"G ( ""hold_onto(orange)"" ) | G ( F ( ""go_to(waste_basket)"" ) )";G hold_onto_orange | GF go_to_waste_basket;['go_to_waste_basket', 'hold_onto_orange'];;;;Gap_1 | GFap_0;VLTL-Bench;Gprop | GFprop;Gprop | GFprop;0
whenever the semaphore is yellow and the train stops then eternally, a bridge opens and the constructor creates instances;G(( semaphore_is_yellow & train_stops ) -> G( bridge_opens & constructor_creates_instances ));G((semaphore_is_yellow & train_stops) -> G(bridge_opens & constructor_creates_instances));['constructor_creates_instances', 'semaphore_is_yellow', 'bridge_opens', 'train_stops'];whenever the semaphore_is_yellow and the train_stops then eternally, a bridge_opens and the constructor_creates_instances;;{'constructor_creates_instances': 'ap_0', 'semaphore_is_yellow': 'ap_1', 'bridge_opens': 'ap_2', 'train_stops': 'ap_3'};G((ap_1 & ap_3) -> G(ap_2 & ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G(prop & prop));G((prop & prop) -> G(prop & prop));0
sooner or later a constructor creates instances and a sensor captures data and, in the future a sensor gathers information afterwards;G(!( constructor_creates_instances & sensor_captures_data )) | F(( constructor_creates_instances & sensor_captures_data ) & F( sensor_gathers_information ));G!(constructor_creates_instances & sensor_captures_data) | F(constructor_creates_instances & sensor_captures_data & F sensor_gathers_information);['sensor_captures_data', 'constructor_creates_instances', 'sensor_gathers_information'];sooner or later a constructor_creates_instances and a sensor_captures_data and, in the future a sensor_gathers_information afterwards;;{'sensor_captures_data': 'ap_0', 'constructor_creates_instances': 'ap_1', 'sensor_gathers_information': 'ap_2'};G!(ap_1 & ap_0) | F(ap_1 & ap_0 & Fap_2);NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & Fprop);G!(prop & prop) | F(prop & prop & Fprop);0
first, sooner or later the train has arrived and the bar is down, and then, finally, either the motorbike falls down or the manager collect claims;G(!( train_has_arrived & bar_is_down )) | F(( train_has_arrived & bar_is_down ) & F( motorbike_falls_down | manager_collect_claims ));G!(bar_is_down & train_has_arrived) | F(bar_is_down & train_has_arrived & F(manager_collect_claims | motorbike_falls_down));['motorbike_falls_down', 'manager_collect_claims', 'bar_is_down', 'train_has_arrived'];first, sooner or later the train_has_arrived and the bar_is_down, and then, finally, either the motorbike_falls_down or the manager_collect_claims;;{'motorbike_falls_down': 'ap_0', 'manager_collect_claims': 'ap_1', 'bar_is_down': 'ap_2', 'train_has_arrived': 'ap_3'};G!(ap_2 & ap_3) | F(ap_2 & ap_3 & F(ap_1 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G!(prop & prop) | F(prop & prop & F(prop | prop));G!(prop & prop) | F(prop & prop & F(prop | prop));0
Whenever get_help holds, record the jaywalker on south_5th_avenue holds as well.;"G ( ""get_help"" -> ""record(jaywalker,south_5th_avenue)"" )";G(get_help -> record_jaywalker_south_5th_avenue);['get_help', 'record_jaywalker_south_5th_avenue'];;;;G(ap_0 -> ap_1);VLTL-Bench;G(prop -> prop);G(prop -> prop);0
Update light_south red must keep holding until, from some point on, record the vehicle on south_8th_avenue holds infinitely often.;"""change(light_south,red)"" U ( G ( F ""record(vehicle,south_8th_avenue)"" ) )";change_light_south_red U GF record_vehicle_south_8th_avenue;['change_light_south_red', 'record_vehicle_south_8th_avenue'];;;;ap_0 U GFap_1;VLTL-Bench;prop U GFprop;prop U GFprop;0
In this task, change light_north red, then record the person on south_9th_street.;"( ""change(light_north,red)"" U ""record(person,south_9th_street)"" )";change_light_north_red U record_person_south_9th_street;['change_light_north_red', 'record_person_south_9th_street'];;;;ap_0 U ap_1;VLTL-Bench;prop U prop;prop U prop;0
Photograph the car on northwest_5th_street can only happen after photoing the car on southwest_9th_street.;"! ""photo(car,northwest_5th_street)"" U ""photo(car,southwest_9th_street)""";!photo_car_northwest_5th_street U photo_car_southwest_9th_street;['photo_car_southwest_9th_street', 'photo_car_northwest_5th_street'];;;;!ap_1 U ap_0;VLTL-Bench;!prop U prop;!prop U prop;0
after either the engine starts or a motorbike catches fire, it never happens that the bar is down or a house is open;G(( engine_starts | motorbike_catches_fire ) -> G(!( bar_is_down | house_is_open )));G((engine_starts | motorbike_catches_fire) -> G!(bar_is_down | house_is_open));['house_is_open', 'motorbike_catches_fire', 'engine_starts', 'bar_is_down'];after either the engine_starts or a motorbike_catches_fire, it never happens that the bar_is_down or a house_is_open;;{'house_is_open': 'ap_0', 'motorbike_catches_fire': 'ap_1', 'engine_starts': 'ap_2', 'bar_is_down': 'ap_3'};G((ap_2 | ap_1) -> G!(ap_3 | ap_0));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G!(prop | prop));G((prop | prop) -> G!(prop | prop));0
finally, the sensor gathers information and, it will happen that either the engine starts or the elevator falls afterwards;G(!( sensor_gathers_information )) | F(( sensor_gathers_information ) & F( engine_starts | elevator_falls ));G!sensor_gathers_information | F(sensor_gathers_information & F(elevator_falls | engine_starts));['elevator_falls', 'engine_starts', 'sensor_gathers_information'];finally, the sensor_gathers_information and, it will happen that either the engine_starts or the elevator_falls afterwards;;{'elevator_falls': 'ap_0', 'engine_starts': 'ap_1', 'sensor_gathers_information': 'ap_2'};G!ap_2 | F(ap_2 & F(ap_0 | ap_1));NL-to-LTL-Synthetic-Datasetprocessed_data;G!prop | F(prop & F(prop | prop));G!prop | F(prop & F(prop | prop));0
after both an elevator falls and an elevator rises, sooner or later either the engine starts or the bar has to be repaired;G(( elevator_falls & elevator_rises ) -> F( engine_starts | bar_has_to_be_repaired ));G((elevator_falls & elevator_rises) -> F(bar_has_to_be_repaired | engine_starts));['bar_has_to_be_repaired', 'elevator_falls', 'elevator_rises', 'engine_starts'];after both an elevator_falls and an elevator_rises, sooner or later either the engine_starts or the bar_has_to_be_repaired;;{'bar_has_to_be_repaired': 'ap_0', 'elevator_falls': 'ap_1', 'elevator_rises': 'ap_2', 'engine_starts': 'ap_3'};G((ap_1 & ap_2) -> F(ap_0 | ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> F(prop | prop));G((prop & prop) -> F(prop | prop));0
move through the yellow or red_room to the green_room;"F ( ( ""red_room"" | ""yellow_room"" ) & F ""green_room"" )";F((red_room | yellow_room) & F green_room);['yellow_room', 'red_room', 'green_room'];;;;F((ap_1 | ap_0) & Fap_2);VLTL-Bench;F((prop | prop) & Fprop);F((prop | prop) & Fprop);0
Start by picking up brochure_5 from table_2 and then put it in street_5;"F ( ""table_2"" & F ( ""p_brochure_5"" & F ( ""street_5"" & ""pd"" ) ) )";F(table_2 & F(p_brochure_5 & F(pd & street_5)));['pd', 'street_5', 'table_2', 'p_brochure_5'];;;;F(ap_2 & F(ap_3 & F(ap_0 & ap_1)));VLTL-Bench;F(prop & F(prop & F(prop & prop)));F(prop & F(prop & F(prop & prop)));0
Whenever avoid the nearest_unstable_beam holds, avoid the impending_unstable_beam holds as well.;"G ( ""avoid(nearest_unstable_beam)"" -> ""avoid(impending_unstable_beam)"" )";G(avoid_nearest_unstable_beam -> avoid_impending_unstable_beam);['avoid_nearest_unstable_beam', 'avoid_impending_unstable_beam'];;;;G(ap_0 -> ap_1);VLTL-Bench;G(prop -> prop);G(prop -> prop);0
at any time get orange until forever touch flag;"F ( ""get(orange)"" ) U G ( ""touch(flag)"" )";F get_orange U G touch_flag;['get_orange', 'touch_flag'];;;;Fap_0 U Gap_1;VLTL-Bench;Fprop U Gprop;Fprop U Gprop;0
in the future either a train is crossing or the motorbike has stopped;F( train_is_crossing | motorbike_has_stopped );F(motorbike_has_stopped | train_is_crossing);['train_is_crossing', 'motorbike_has_stopped'];in the future either a train_is_crossing or the motorbike_has_stopped;;{'train_is_crossing': 'ap_0', 'motorbike_has_stopped': 'ap_1'};F(ap_1 | ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;F(prop | prop);F(prop | prop);0
Periodically visit car_3 while ensuring you eventually at building_2;"G F ""car_3"" & F ""building_2""";GF car_3 & F building_2;['car_3', 'building_2'];;;;GFap_0 & Fap_1;VLTL-Bench;GFprop & Fprop;GFprop & Fprop;0
Globally, if get_help occurs then finally search the skis happens.;"G ( ""get_help"" -> F ""search(skis)"" )";G(get_help -> F search_skis);['get_help', 'search_skis'];;;;G(ap_0 -> Fap_1);VLTL-Bench;G(prop -> Fprop);G(prop -> Fprop);0
Whenever go_home holds, from the next step onwards record fire_source will eventually hold.;"G ( ""go_home"" -> X F ""record(fire_source)"" )";G(go_home -> XF record_fire_source);['go_home', 'record_fire_source'];;;;G(ap_0 -> XFap_1);VLTL-Bench;G(prop -> XFprop);G(prop -> XFprop);0
every time the escalator is blocked and the table is brown;G( escalator_is_blocked & table_is_brown );G(escalator_is_blocked & table_is_brown);['table_is_brown', 'escalator_is_blocked'];every time the escalator_is_blocked and the table_is_brown;;{'table_is_brown': 'ap_0', 'escalator_is_blocked': 'ap_1'};G(ap_1 & ap_0);NL-to-LTL-Synthetic-Datasetprocessed_data;G(prop & prop);G(prop & prop);0
Reach hotel 3 and remain there indefinitely;<>[]hotel_3;FG hotel_3;['hotel_3'];Reach hotel_3 and remain there indefinitely;{'hotel 3': 'hotel_3'};{'hotel_3': 'ap_0'};FGap_0;ConformalNL2LTL;FGprop;FGprop;0
whenever the motorbike has stopped or the semaphore is broken then eternally, both a house is open and the motorbike has started;G(( motorbike_has_stopped | semaphore_is_broken ) -> G( house_is_open & motorbike_has_started ));G((motorbike_has_stopped | semaphore_is_broken) -> G(house_is_open & motorbike_has_started));['house_is_open', 'semaphore_is_broken', 'motorbike_has_stopped', 'motorbike_has_started'];whenever the motorbike_has_stopped or the semaphore_is_broken then eternally, both a house_is_open and the motorbike_has_started;;{'house_is_open': 'ap_0', 'semaphore_is_broken': 'ap_1', 'motorbike_has_stopped': 'ap_2', 'motorbike_has_started': 'ap_3'};G((ap_2 | ap_1) -> G(ap_0 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop | prop) -> G(prop & prop));G((prop | prop) -> G(prop & prop));0
Whenever idle holds, search the microwave holds exactly three steps later.;"G ( ""idle"" -> X ( X ( X ""search(microwave)"" ) ) )";G(idle -> XXX search_microwave);['idle', 'search_microwave'];;;;G(ap_0 -> XXXap_1);VLTL-Bench;G(prop -> XXXprop);G(prop -> XXXprop);0
every time a bridge opens and a sensor retrieves data then it will not happen that the bar has to be repaired and the engine stops;G(( bridge_opens & sensor_retrieves_data ) -> G(!( bar_has_to_be_repaired & engine_stops )));G((bridge_opens & sensor_retrieves_data) -> G!(bar_has_to_be_repaired & engine_stops));['bar_has_to_be_repaired', 'bridge_opens', 'sensor_retrieves_data', 'engine_stops'];every time a bridge_opens and a sensor_retrieves_data then it will not happen that the bar_has_to_be_repaired and the engine_stops;;{'bar_has_to_be_repaired': 'ap_0', 'bridge_opens': 'ap_1', 'sensor_retrieves_data': 'ap_2', 'engine_stops': 'ap_3'};G((ap_1 & ap_2) -> G!(ap_0 & ap_3));NL-to-LTL-Synthetic-Datasetprocessed_data;G((prop & prop) -> G!(prop & prop));G((prop & prop) -> G!(prop & prop));0
Avoid going to parking lot 5 as you take a picture of car 3;[]!parking_lot_5&&<>(car_3&&photo);G!parking_lot_5 & F(car_3 & photo);['photo', 'parking_lot_5', 'car_3'];Avoid going to parking_lot_5 as you take a picture of car_3;{'photo': 'photo', 'parking lot 5': 'parking_lot_5', 'car 3': 'car_3'};{'photo': 'ap_0', 'parking_lot_5': 'ap_1', 'car_3': 'ap_2'};G!ap_1 & F(ap_2 & ap_0);ConformalNL2LTL;G!prop & F(prop & prop);G!prop & F(prop & prop);0
