pair_type,ltl,en
universal_global,G( NPDOrRc ),it is always the case that NPDOrRc
universal_global,G( cndrTif & WXspnRX ),"forever, both cndrTif and WXspnRX"
universal_global,G( GMJbOKoyOCEzf ),all the time GMJbOKoyOCEzf
universal_global,G( nAJqbGee | nQttem ),"always, nAJqbGee or nQttem"
universal_global,G( qEdndVSZ ),it is always true that qEdndVSZ
universal_global,G( _tMih | nKLtTNWtVI ),it is always the case that _tMih or nKLtTNWtVI
universal_global,G( txRyQPt ),it is always true that txRyQPt
universal_global,G( KEvMGsmgSSp ),every time KEvMGsmgSSp
universal_global,G( uwAAl & RwNETzi_ItlFw ),it is always true that both uwAAl and RwNETzi_ItlFw
universal_global,G( QleTMtgY & LCvJvMpeLfw ),"forever, QleTMtgY and LCvJvMpeLfw"
universal_global,G( Ourt_ ),all the time Ourt_
universal_global,G( weIFOvb | bTPoDroNDPUIVR | zwCrZwId ),"always, either weIFOvb, bTPoDroNDPUIVR or zwCrZwId"
universal_global,G( NnAnJ ),"forever, NnAnJ"
universal_global,G( vUUWk_q_GEZlKgh & xAYfGiQ & DlKJrDTsawFl_PN ),it is always the case that vUUWk_q_GEZlKgh and together xAYfGiQ and DlKJrDTsawFl_PN
universal_global,G( bPEOudFguQC ),"always, bPEOudFguQC"
universal_global,G( tzWgF | GZcOYJyoxTaklE ),"always, tzWgF or GZcOYJyoxTaklE"
universal_global,G( UjawoHsxExGtEIX ),it is always the case that UjawoHsxExGtEIX
universal_global,G( AXOTkXDurs & bsCfidUvpPxlJ & NtycwELiJKkkD ),"in any case AXOTkXDurs and, at the same time, bsCfidUvpPxlJ and NtycwELiJKkkD"
universal_global,G( YeVZiTWRTIsnLF | fmiUX | IjPxTZvu ),"every time either YeVZiTWRTIsnLF, fmiUX or IjPxTZvu"
universal_global,G( xwFxrfZH | OjDjRsjTq ),every time xwFxrfZH or OjDjRsjTq
universal_global,G( _bLlrcL ),"eternally, _bLlrcL"
universal_global,G( trKXcq | qrWuR_MDybwnZfF | rJUujkhbYGtw ),every time trKXcq or qrWuR_MDybwnZfF or rJUujkhbYGtw
universal_global,G( WikPQsqvRUIto ),"always, WikPQsqvRUIto"
universal_global,G( NTtEqbPUdbzP ),in any case NTtEqbPUdbzP
universal_global,G( BAskEFbbEXXStrK & dWNZLlYczZUMwy & DVomCjf ),"eternally, BAskEFbbEXXStrK, dWNZLlYczZUMwy and DVomCjf"
universal_global,G( DNIycHr ),"always, DNIycHr"
universal_global,G( UkaOiadS | f_jzhXD | ZaFYvEDUpV ),in any case UkaOiadS or f_jzhXD or ZaFYvEDUpV
universal_global,G( CjcQho ),"always, CjcQho"
universal_global,G( zJQC_Mfe ),"forever, zJQC_Mfe"
universal_global,G( XDaONCagKKsgAL | HNJWSyua ),"eternally, either XDaONCagKKsgAL or HNJWSyua"
universal_global,G( _UlBNaKjvMedE & ZcdIvYdte ),all the time _UlBNaKjvMedE and ZcdIvYdte
universal_global,G( rPoEMO | BFDsUppUWX | cEBIYnUWACNKPD ),"eternally, either rPoEMO, BFDsUppUWX or cEBIYnUWACNKPD"
universal_global,G( kzpkJ ),"eternally, kzpkJ"
universal_global,G( wEKqjZygh ),in any case wEKqjZygh
universal_global,G( VVPZEyFYLazxkQ & tYLNYxbNBGja & YJVMrTWCUWdYGYO ),"eternally, VVPZEyFYLazxkQ and together tYLNYxbNBGja and YJVMrTWCUWdYGYO"
universal_global,G( m_BAzsDArr ),it is always true that m_BAzsDArr
universal_global,G( lgkQhrgjfiuY & ePBJeR ),all the time both lgkQhrgjfiuY and ePBJeR
universal_global,G( pyhnMTyY | GvIQJCq | AoKSOjU ),at any time pyhnMTyY or GvIQJCq or AoKSOjU
universal_global,G( IfzaLkeDluO ),all the time IfzaLkeDluO
universal_global,G( fWOkbnjnVefzN & DQPYVQDpcqvTnL ),every time fWOkbnjnVefzN and DQPYVQDpcqvTnL
universal_global,G( UkVBnow & OWwoe ),it is always the case that UkVBnow and OWwoe
universal_global,G( dEW_bYUPPckM | tqcesGtxHJALU | wIJoGYdiEqnqX ),"forever, dEW_bYUPPckM or tqcesGtxHJALU or wIJoGYdiEqnqX"
universal_global,G( oGcYtS & x_SaNubdSX_Awpx & QNtFelYrOrFOWzb ),"at any time oGcYtS and, at the same time, x_SaNubdSX_Awpx and QNtFelYrOrFOWzb"
universal_global,G( Xb_GymkaSi ),it is always true that Xb_GymkaSi
universal_global,G( TeAy_xgkZrPiS ),all the time TeAy_xgkZrPiS
universal_global,G( tUcTumMBU & hyOqtvlhatXuh & XfGIMv ),it is always true that tUcTumMBU and together hyOqtvlhatXuh and XfGIMv
universal_global,G( vowiPdFSa & PQlbEbIJhvVg & NbsWXpXNYjD ),"in any case vowiPdFSa and, at the same time, PQlbEbIJhvVg and NbsWXpXNYjD"
universal_global,G( RjgCesZc ),in any case RjgCesZc
universal_global,G( TpPKkJt ),at any time TpPKkJt
universal_global,G( ISPYrwNjRGuTP | rnNtencpolKyehg ),it is always the case that either ISPYrwNjRGuTP or rnNtencpolKyehg
universal_global,G( XsgNEIgJreej | WCFPFN | ucOtsSniGLIP ),"it is always the case that either XsgNEIgJreej, WCFPFN or ucOtsSniGLIP"
universal_global,G( rMPqCLXttluc & xlokAM ),in any case both rMPqCLXttluc and xlokAM
universal_global,G( vpNOrPumu ),in any case vpNOrPumu
universal_global,G( _mNHMIXvb | RXSaEjhxxkPQPT ),at any time _mNHMIXvb or RXSaEjhxxkPQPT
universal_global,G( fxfjNRILqtbf & WJbrsuY & fEqtfzGhUso ),"every time fxfjNRILqtbf and, at the same time, WJbrsuY and fEqtfzGhUso"
universal_global,G( oRgJWQSclxl_Gt | DblzZskL | SvtYyH ),every time oRgJWQSclxl_Gt or DblzZskL or SvtYyH
universal_global,G( zzlfUzuaIMntn & NBgygVGcz ),all the time both zzlfUzuaIMntn and NBgygVGcz
universal_global,G( YXEOtSUtskC | qCMfWcGrDeJ | _rghVYNfyWGB ),every time YXEOtSUtskC or qCMfWcGrDeJ or _rghVYNfyWGB
universal_global,G( EsroqE | y_Wutk ),all the time either EsroqE or y_Wutk
universal_global,G( ylPotBbEmdgB | XdKkm_CxFNeP | ZThswkrZXxLTrOi ),"in any case either ylPotBbEmdgB, XdKkm_CxFNeP or ZThswkrZXxLTrOi"
universal_global,G( ggDTW & wBfYrLCXAUU & _nPPHYiXJ ),at any time ggDTW and together wBfYrLCXAUU and _nPPHYiXJ
universal_global,G( WqXJokdSZm & txEnbuj & _DLwr ),"all the time WqXJokdSZm and, at the same time, txEnbuj and _DLwr"
universal_global,G( svXqFcW | fasLOHsWGjB ),in any case either svXqFcW or fasLOHsWGjB
universal_global,G( OZlYzaq | ShDMWte ),"forever, OZlYzaq or ShDMWte"
universal_global,G( TbyHvrdIrtGF & zAAIwAeoYDpff & VUjckpANYnnZ ),"it is always true that TbyHvrdIrtGF and, at the same time, zAAIwAeoYDpff and VUjckpANYnnZ"
universal_global,G( YWtfuWKgL & TKprTrzZsLvLaXJ & TFDnNFq ),"it is always the case that YWtfuWKgL and, at the same time, TKprTrzZsLvLaXJ and TFDnNFq"
universal_global,G( KKHUYbIDTuMNgHO | qdaonuYhkJIyRe ),every time either KKHUYbIDTuMNgHO or qdaonuYhkJIyRe
universal_global,G( KLUoJU ),every time KLUoJU
universal_global,G( hFGbU ),all the time hFGbU
universal_global,G( xqTIOr | fnCzzrnWTRrbIm ),at any time xqTIOr or fnCzzrnWTRrbIm
universal_global,G( pvponX | kXMXEa | akNBCVgUlx ),every time pvponX or kXMXEa or akNBCVgUlx
universal_global,G( vcLVEFTqsK | puEhYe_gFAuEG ),"always, vcLVEFTqsK or puEhYe_gFAuEG"
universal_global,G( mNEVPWKzVKOT ),"forever, mNEVPWKzVKOT"
universal_global,G( YNyxAWdiIXpOITg & UIoMaftmEHtPkjV ),"always, YNyxAWdiIXpOITg and UIoMaftmEHtPkjV"
universal_global,G( TfrYTBtFvlPji | pZChSSgLz | cqRpivvQK_Err ),all the time TfrYTBtFvlPji or pZChSSgLz or cqRpivvQK_Err
universal_global,G( LK_jTYd ),every time LK_jTYd
universal_global,G( dAVVwE ),"forever, dAVVwE"
universal_global,G( RDIOdIqTabb ),in any case RDIOdIqTabb
universal_global,G( wxQmmvjP | MDnWlrVlBfLUvl ),in any case either wxQmmvjP or MDnWlrVlBfLUvl
universal_global,G( tpuRhooFj ),at any time tpuRhooFj
universal_global,G( dMlBFXHKRoYpXdX | QNRFHR ),"forever, either dMlBFXHKRoYpXdX or QNRFHR"
universal_global,G( LIBdhrlS & hwoMN ),it is always true that LIBdhrlS and hwoMN
universal_global,G( SyrhWSCfOvVJ | YUBhG ),"eternally, either SyrhWSCfOvVJ or YUBhG"
universal_global,G( yodMQOzvu ),in any case yodMQOzvu
universal_global,G( ntdmsVYmYC ),every time ntdmsVYmYC
universal_global,G( cpdzlcmUKrn & XAokDDblnJQz_O ),it is always the case that both cpdzlcmUKrn and XAokDDblnJQz_O
universal_global,G( qeAfMLDNshVE | RnuIbGDgkw | R_p_bMKUu ),"every time either qeAfMLDNshVE, RnuIbGDgkw or R_p_bMKUu"
universal_global,G( oQjCBl ),at any time oQjCBl
universal_global,G( xPQNsTCdh & mMzTkHU ),all the time both xPQNsTCdh and mMzTkHU
universal_global,G( qEsMq | gLgDhKCaXjAyDe | ojGRTEYLP_ ),"in any case either qEsMq, gLgDhKCaXjAyDe or ojGRTEYLP_"
universal_global,G( unAGzfnIGP_YOnS | cWWWDDDaYfqZdPU | nYcKSuM ),at any time unAGzfnIGP_YOnS or cWWWDDDaYfqZdPU or nYcKSuM
universal_global,G( NVREOO_wqoXpgQ | RuFGksLAdwXOM ),in any case NVREOO_wqoXpgQ or RuFGksLAdwXOM
universal_global,G( ykerYJPJnkyAw & I_YfONDnLGE & NmnxIn ),"at any time ykerYJPJnkyAw, I_YfONDnLGE and NmnxIn"
universal_global,G( RSyGsbfkPaI ),it is always true that RSyGsbfkPaI
universal_global,G( EarvNHinsPTkMyV & ezGbCtHeGt & WunmY ),"always, EarvNHinsPTkMyV and together ezGbCtHeGt and WunmY"
universal_global,G( iiXzeLrQsGU | N__GkFdRQaP | QbpUV ),"always, iiXzeLrQsGU or N__GkFdRQaP or QbpUV"
universal_global,G( PxFbxCzD ),all the time PxFbxCzD
universal_global,G( ACZuhu & uVErBAb ),it is always the case that both ACZuhu and uVErBAb
universal_global,G( iQVvQaxxe ),every time iQVvQaxxe
universal_global,G( RIwPFknYbmpNtz ),all the time RIwPFknYbmpNtz
universal_global,G( WeGAAPJO_LkGWu & yVFqYk & TRDkhZdOppVgEOr ),"it is always true that WeGAAPJO_LkGWu and, at the same time, yVFqYk and TRDkhZdOppVgEOr"
universal_global,G( YMfEkT__NHFW & XASjUUOawS & YCXmIbDNubeiANI ),"all the time YMfEkT__NHFW, XASjUUOawS and YCXmIbDNubeiANI"
universal_global,G( xpJzYKCXIqhdvR | tmTKpmgUBjnImau | nfjCMiNhY ),"eternally, xpJzYKCXIqhdvR or tmTKpmgUBjnImau or nfjCMiNhY"
universal_global,G( mMDVyZ & vMElfM ),"eternally, mMDVyZ and vMElfM"
universal_global,G( IcXRAFy ),at any time IcXRAFy
universal_global,G( WFPNshzcySzULPx ),at any time WFPNshzcySzULPx
universal_global,G( ZOfthA ),"eternally, ZOfthA"
universal_global,G( stIfsic | RSEzcXBa ),it is always true that either stIfsic or RSEzcXBa
universal_global,G( RnqtWb_vT | LRbaHTk ),all the time either RnqtWb_vT or LRbaHTk
universal_global,G( jIIGJKW ),"forever, jIIGJKW"
universal_global,G( DBebyJRjVNDHYu ),"always, DBebyJRjVNDHYu"
universal_global,G( wTTEEHwFId | ugjCj ),every time either wTTEEHwFId or ugjCj
universal_global,G( cjPGQCbdO ),"eternally, cjPGQCbdO"
universal_global,G( LRlOMxpB & NiNdm ),it is always the case that LRlOMxpB and NiNdm
universal_global,G( pIYGvwh ),"eternally, pIYGvwh"
universal_global,G( yE_lrxQj | QMmuXa | kCfxjiPUSf ),"every time either yE_lrxQj, QMmuXa or kCfxjiPUSf"
universal_global,G( ElboOT ),it is always true that ElboOT
universal_global,G( BkhLA ),it is always the case that BkhLA
universal_global,G( dofJkMbfTnVnNq & XPPBcBbKefOfxi & WXeFUyccXPSRgx ),"in any case dofJkMbfTnVnNq and, at the same time, XPPBcBbKefOfxi and WXeFUyccXPSRgx"
universal_global,G( XokkrKVTMOK_ ),"forever, XokkrKVTMOK_"
universal_global,G( zgPvG | niZip ),"always, either zgPvG or niZip"
universal_global,G( AEonKOpNT ),it is always the case that AEonKOpNT
universal_global,G( svOEKHjoouGUe | CzGIjSLYnddkfL | rcdMMUDodkXC ),at any time svOEKHjoouGUe or CzGIjSLYnddkfL or rcdMMUDodkXC
universal_global,G( vvmep & xGShzCSBJfuMX & tekLl_hS ),"forever, vvmep and, at the same time, xGShzCSBJfuMX and tekLl_hS"
universal_global,G( zCAmxEB | AptjKQTbxBfoON | ujBKqDlz_ ),every time zCAmxEB or AptjKQTbxBfoON or ujBKqDlz_
universal_global,G( pzNOGEwcV | bmLvzHoZVTyJ | DaPlNJPQ ),"eternally, pzNOGEwcV or bmLvzHoZVTyJ or DaPlNJPQ"
universal_global,G( ISoIzfyLZsJwfp_ | mCKuinob | jxncXYpWu ),"it is always the case that either ISoIzfyLZsJwfp_, mCKuinob or jxncXYpWu"
universal_global,G( ng_yoQ | ZuJDdrE_ ),every time either ng_yoQ or ZuJDdrE_
universal_global,G( DIlYHEbqH & pLWrABzLNgPrMk ),in any case DIlYHEbqH and pLWrABzLNgPrMk
universal_global,G( WKNXPTXTTnHRH | dkxsvaAJPvPWH | d_XTALImDZF ),"always, either WKNXPTXTTnHRH, dkxsvaAJPvPWH or d_XTALImDZF"
universal_global,G( kXCIXeFIYKH | eGenQ ),all the time kXCIXeFIYKH or eGenQ
universal_global,G( AtMPW & tSokFmsp & UJbpEZjte ),every time AtMPW and together tSokFmsp and UJbpEZjte
universal_global,G( vwHserGw & WDtZU_PNAtPD ),"forever, both vwHserGw and WDtZU_PNAtPD"
universal_global,G( RYkFVKkNC & dUARvpm & vOoNSixaBDyLXe ),at any time RYkFVKkNC and together dUARvpm and vOoNSixaBDyLXe
universal_global,G( emdRGIzFvSWawmB | uvJVlmSj ),it is always the case that either emdRGIzFvSWawmB or uvJVlmSj
universal_global,G( uruPvm ),it is always the case that uruPvm
universal_global,G( rxzrfgZnkU ),every time rxzrfgZnkU
universal_global,G( OwvJGxzflSU | BaVjykdE ),all the time OwvJGxzflSU or BaVjykdE
universal_global,G( _MebkMNg ),it is always the case that _MebkMNg
universal_global,G( ICTkArE & GQuYSh ),"eternally, ICTkArE and GQuYSh"
universal_global,G( cWELwYpBJhXh | NxpMn | XejEFDdBQ ),every time cWELwYpBJhXh or NxpMn or XejEFDdBQ
universal_global,G( AuRTByQHx | ANHTJjsu | KAbhOP ),at any time AuRTByQHx or ANHTJjsu or KAbhOP
universal_global,G( tQdcDFjPsKzuET | BdenANToEFto | znziQAifoAzE ),"at any time either tQdcDFjPsKzuET, BdenANToEFto or znziQAifoAzE"
universal_global,G( yID_COvLTXOk & kvzXeY ),all the time yID_COvLTXOk and kvzXeY
universal_global,G( oKmGkCrK | sA__jJ | mZCnij ),"always, oKmGkCrK or sA__jJ or mZCnij"
universal_global,G( uTJkplmbqlpXz & JkZf_jL & vYuS_MwxTTOupf ),in any case uTJkplmbqlpXz and together JkZf_jL and vYuS_MwxTTOupf
universal_global,G( tPdRE ),at any time tPdRE
universal_global,G( htJWSSJBlVdpIsS ),"always, htJWSSJBlVdpIsS"
universal_global,G( mxhBPfsXknR & KPMZXzo & iWBQSEtCpFMWyh ),"always, mxhBPfsXknR, KPMZXzo and iWBQSEtCpFMWyh"
universal_global,G( BbmXUh & CbNGBD ),it is always the case that BbmXUh and CbNGBD
universal_global,G( lTySX & HGtQlUEAy & pWgTfcBMylGfj ),"in any case lTySX, HGtQlUEAy and pWgTfcBMylGfj"
universal_global,G( pKRcKbHXiz & wamXb & egXQMuSonsehpWD ),it is always the case that pKRcKbHXiz and together wamXb and egXQMuSonsehpWD
universal_global,G( IxIBLQff | ckEuDScTVwmpYQ | TRMWS ),"every time either IxIBLQff, ckEuDScTVwmpYQ or TRMWS"
universal_global,G( rjLCggbDOVP & tKW_mtqclsrObJp & FIpds ),"it is always true that rjLCggbDOVP, tKW_mtqclsrObJp and FIpds"
universal_global,G( ErWjXAZOyxrl & PfvTl_Zzy & PiBcrxtEHmsQMvx ),"in any case ErWjXAZOyxrl, PfvTl_Zzy and PiBcrxtEHmsQMvx"
universal_global,G( JHvudsTTdj ),"forever, JHvudsTTdj"
universal_global,G( qzhZgKEmO & EbJfjYld & dlayHRrfH ),it is always the case that qzhZgKEmO and together EbJfjYld and dlayHRrfH
universal_global,G( iAgyHxYhPHxk ),all the time iAgyHxYhPHxk
universal_global,G( sunZnuEs | ojhmZkZVkCIzJRM ),in any case sunZnuEs or ojhmZkZVkCIzJRM
universal_global,G( RADwntSXaVnpr | VINpZaTfffgOZ ),"eternally, either RADwntSXaVnpr or VINpZaTfffgOZ"
universal_global,G( HyQbmPlfAaAe ),it is always the case that HyQbmPlfAaAe
universal_global,G( xsnt_hTLcg_ ),in any case xsnt_hTLcg_
universal_global,G( jYLSr | CLpnboxb ),"always, jYLSr or CLpnboxb"
universal_global,G( DDYUEIvDd ),it is always true that DDYUEIvDd
universal_global,G( _ycvFNIJjB & XUrsOf & EUKSxZh ),"forever, _ycvFNIJjB and together XUrsOf and EUKSxZh"
universal_global,G( hwPJ_S | wvNtbqHVqwwSw | pgqNTA_aw ),every time hwPJ_S or wvNtbqHVqwwSw or pgqNTA_aw
universal_global,G( llKhGjeiffjHSIR & FiuDcaBTtGH & AAFshkb ),at any time llKhGjeiffjHSIR and together FiuDcaBTtGH and AAFshkb
universal_global,G( wbRwFaJplbwjTN & CZZrmJXnCyreQx ),it is always true that both wbRwFaJplbwjTN and CZZrmJXnCyreQx
universal_global,G( SmGlbcfc ),"forever, SmGlbcfc"
universal_global,G( vbqWHJHaPy_lR ),at any time vbqWHJHaPy_lR
universal_global,G( vIaPFg ),"forever, vIaPFg"
universal_global,G( XAWHntEsRfTfHV & DuxCeaVIY & RbMsPVrSPUiSlv ),in any case XAWHntEsRfTfHV and together DuxCeaVIY and RbMsPVrSPUiSlv
universal_global,G( SXsUFZULJyd & PygIMMRqQ ),"always, SXsUFZULJyd and PygIMMRqQ"
universal_global,G( QUeqpABTfgi | nzsYvxYeJpxh ),at any time either QUeqpABTfgi or nzsYvxYeJpxh
universal_global,G( JbAUBFAJ ),"forever, JbAUBFAJ"
universal_global,G( OBXvkyWwO & mFlaQEcFy ),"eternally, both OBXvkyWwO and mFlaQEcFy"
universal_global,G( kpihg & wQYCy ),it is always the case that both kpihg and wQYCy
universal_global,G( cRJd_euSj ),all the time cRJd_euSj
universal_global,G( tpcuDMPlULf | eXtuZlMZG | YYkZQsepcPmWa ),every time tpcuDMPlULf or eXtuZlMZG or YYkZQsepcPmWa
universal_global,G( jUnsnxwEZyLMazU ),it is always the case that jUnsnxwEZyLMazU
universal_global,G( wIkKKoXEajUrjA ),"eternally, wIkKKoXEajUrjA"
universal_global,G( tJjlEGQ & FsuHeytQyD ),"forever, tJjlEGQ and FsuHeytQyD"
universal_global,G( mnPNsTL | KykN_ARupGav_R | niVQLfDnM ),"always, mnPNsTL or KykN_ARupGav_R or niVQLfDnM"
universal_global,G( EBEkpwVNAOTRG ),at any time EBEkpwVNAOTRG
universal_global,G( QAwinoljzjLMef ),"eternally, QAwinoljzjLMef"
universal_global,G( lINj_CokZfmljD | bPLmuxVkP | lNzwBuYuZi ),"eternally, either lINj_CokZfmljD, bPLmuxVkP or lNzwBuYuZi"
universal_global,G( dtqbfDqhZVL & LybNlmiDjjz & AYvdHF_YBoxgTY ),"it is always the case that dtqbfDqhZVL and, at the same time, LybNlmiDjjz and AYvdHF_YBoxgTY"
universal_global,G( zItQqpEXfvL | sJIKTaWESds | HGnhizJXrfctowQ ),"it is always true that either zItQqpEXfvL, sJIKTaWESds or HGnhizJXrfctowQ"
universal_global,G( Ycp_XNscXXOtGd & IJIfdyBmGBGIhl & ZpHKrj ),"at any time Ycp_XNscXXOtGd and, at the same time, IJIfdyBmGBGIhl and ZpHKrj"
universal_global,G( vlsstLKQgRG & J_AXJJb & fDTRxlwlhBbaYLO ),it is always the case that vlsstLKQgRG and together J_AXJJb and fDTRxlwlhBbaYLO
universal_global,G( XrlETLmVoHybTQ_ ),it is always true that XrlETLmVoHybTQ_
universal_global,G( qKnOecRbpuVP | XmvJsq_ ),at any time qKnOecRbpuVP or XmvJsq_
universal_global,G( FUovkxdSwXeff ),all the time FUovkxdSwXeff
universal_global,G( zljtdzIBAHSGWGm | BAzrIQL ),"eternally, either zljtdzIBAHSGWGm or BAzrIQL"
universal_global,G( RSkYpES_KUkDwa | YEXmo_tLCm | xDxLCAK ),"forever, RSkYpES_KUkDwa or YEXmo_tLCm or xDxLCAK"
universal_global,G( d_vEvAFpA ),in any case d_vEvAFpA
universal_global,G( rtUEccZEP & XAdoYE & kdakTLRu ),"every time rtUEccZEP and, at the same time, XAdoYE and kdakTLRu"
universal_global,G( EeahOsQTqajb | ijAyXylCUzO | jDtWSvOdbiyRmVZ ),"it is always true that either EeahOsQTqajb, ijAyXylCUzO or jDtWSvOdbiyRmVZ"
universal_global,G( iEMYhPxYXDpBD & zGwgwoYJK ),at any time both iEMYhPxYXDpBD and zGwgwoYJK
universal_global,G( vxzhNwzPrem ),at any time vxzhNwzPrem
universal_global,G( EcEJAAjQIEwHLJ | bCpnthtwfwWv | mAkartXgUYj ),it is always true that EcEJAAjQIEwHLJ or bCpnthtwfwWv or mAkartXgUYj
universal_global,G( LLwIpxFt | AsJwTWzrB | GO_QEsI ),every time LLwIpxFt or AsJwTWzrB or GO_QEsI
universal_global,G( tTzQC | BMmPpSoEKnWXX | WRHltnZh ),"it is always true that either tTzQC, BMmPpSoEKnWXX or WRHltnZh"
universal_global,G( FfPUrVxiot | iIkcxZky ),all the time either FfPUrVxiot or iIkcxZky
universal_global,G( oiHt_UIgTDH & fDUoKpWgriKBn & _gnFVd ),it is always true that oiHt_UIgTDH and together fDUoKpWgriKBn and _gnFVd
universal_global,G( bUxenJrVdwmlnWR | iFKv_hX | pKqQR ),every time bUxenJrVdwmlnWR or iFKv_hX or pKqQR
universal_global,G( TNRYMa | OdMvFsYytUa | GiDbpISYcNPvek ),"at any time either TNRYMa, OdMvFsYytUa or GiDbpISYcNPvek"
universal_global,G( PmMYYEArHUc ),it is always true that PmMYYEArHUc
universal_global,G( bdaXHGzD | kKGqh_ | mUHFQHZm ),"in any case either bdaXHGzD, kKGqh_ or mUHFQHZm"
universal_global,G( nRoAwncsEnjKg ),every time nRoAwncsEnjKg
universal_global,G( wHsTAULt & bQjTzTck ),it is always the case that wHsTAULt and bQjTzTck
universal_global,G( uZMUGNBFcf & giaSY ),it is always true that uZMUGNBFcf and giaSY
universal_global,G( VANJIzXx & AQjUm & ZiyDKQICOGm ),"always, VANJIzXx and together AQjUm and ZiyDKQICOGm"
universal_global,G( mdmWo ),all the time mdmWo
universal_global,G( J_PulzsJBmfUOO | oQAfSnU | fZlKHExrRDvKwi ),"forever, J_PulzsJBmfUOO or oQAfSnU or fZlKHExrRDvKwi"
universal_global,G( hJBMneWaZUY ),it is always true that hJBMneWaZUY
universal_global,G( NOjgG | oCazsaonYSpIdd | yUEDbqaWgDdK ),"forever, NOjgG or oCazsaonYSpIdd or yUEDbqaWgDdK"
universal_global,G( kztnlUtErg & THilrsqMZVJS & aKlmyYKADDzpi ),"in any case kztnlUtErg and, at the same time, THilrsqMZVJS and aKlmyYKADDzpi"
universal_global,G( bxJrviMIytY ),all the time bxJrviMIytY
universal_global,G( QKbZq_ & sNXTeA ),"always, QKbZq_ and sNXTeA"
universal_global,G( UhbdWMvrUVlTczH ),all the time UhbdWMvrUVlTczH
universal_global,G( USDMoiMZ | ttZSbrEdcTlI | HdpyAl ),"eternally, either USDMoiMZ, ttZSbrEdcTlI or HdpyAl"
universal_global,G( lqHwTbwkuDm | PqNTri ),in any case lqHwTbwkuDm or PqNTri
universal_global,G( PudyuG ),every time PudyuG
universal_global,G( RgdQCiyTOrXRrVP & lNepKfWDAWYWI ),it is always true that RgdQCiyTOrXRrVP and lNepKfWDAWYWI
universal_global,G( strtrSzoU & dwQimoeg ),every time both strtrSzoU and dwQimoeg
universal_global,G( fQthzeGKPzDgxxF & EeqxYUuDA ),"forever, fQthzeGKPzDgxxF and EeqxYUuDA"
universal_global,G( RvagkOkXHNbswwn | sOvIT | dmURFtJs ),at any time RvagkOkXHNbswwn or sOvIT or dmURFtJs
universal_global,G( BzxsmYf | FrcIlhSgaaNqh ),every time either BzxsmYf or FrcIlhSgaaNqh
universal_global,G( NjBLmONx | RtXQpjEecbIu ),"forever, NjBLmONx or RtXQpjEecbIu"
universal_global,G( owR_iswbCc & KRGocOslW & _VsdkX ),"forever, owR_iswbCc, KRGocOslW and _VsdkX"
universal_global,G( VbOcDX & uFYIgBCGNCc ),it is always true that VbOcDX and uFYIgBCGNCc
universal_global,G( sCAAQDOwZq | ty_LxtoQQsfAg ),all the time either sCAAQDOwZq or ty_LxtoQQsfAg
universal_global,G( XKQNlhGc | fEDdiPPZockk | EcTJjWLwMamAsV_ ),it is always true that XKQNlhGc or fEDdiPPZockk or EcTJjWLwMamAsV_
universal_global,G( ADm__O_gcp & BpVoYSZCfzYm & ApediGwr ),every time ADm__O_gcp and together BpVoYSZCfzYm and ApediGwr
universal_global,G( tJIkqW & RlxJRANxldMI ),all the time both tJIkqW and RlxJRANxldMI
universal_global,G( QlWJj | _aNrdVL | udRPG_CrJ_jr ),"always, QlWJj or _aNrdVL or udRPG_CrJ_jr"
universal_global,G( doXosgERsvIwZgs | jNxtwQYB | iWzJtxwOvqo ),"at any time either doXosgERsvIwZgs, jNxtwQYB or iWzJtxwOvqo"
universal_global,G( GjVKDl ),"forever, GjVKDl"
universal_global,G( aAeKlfbkQVNoh ),every time aAeKlfbkQVNoh
universal_global,G( roACdkexJphGh & sabAlzLtuUyJ ),it is always true that roACdkexJphGh and sabAlzLtuUyJ
universal_global,G( AbXyfcowGYu | eacmekvPjg ),in any case either AbXyfcowGYu or eacmekvPjg
universal_global,G( YnmsV & phOtDVCOpFK & aLHVJsPdBXh ),"eternally, YnmsV, phOtDVCOpFK and aLHVJsPdBXh"
universal_global,G( SGPHFQTItItjOKN & DuNsIlBNrXQAfzP & WnMYmeOTNq ),every time SGPHFQTItItjOKN and together DuNsIlBNrXQAfzP and WnMYmeOTNq
universal_global,G( IXoRAFHWPkw & wbPUVUjaEgnp & BRDVdSwJ ),all the time IXoRAFHWPkw and together wbPUVUjaEgnp and BRDVdSwJ
universal_global,G( nFIeZmvtgIeIjU & UrGUYwg_Q ),in any case nFIeZmvtgIeIjU and UrGUYwg_Q
universal_global,G( x_WzIqb ),every time x_WzIqb
universal_global,G( IDlBeuLHSk | EEarBkArfAr | qRtUwmadOzBqgGh ),"in any case either IDlBeuLHSk, EEarBkArfAr or qRtUwmadOzBqgGh"
universal_global,G( SvwcgiW ),in any case SvwcgiW
universal_global,G( eHXGUm & wvbyA ),"always, both eHXGUm and wvbyA"
universal_global,G( eAvhTXdZ_A ),every time eAvhTXdZ_A
universal_global,G( cflFWQ | nVHZYAaIwcQD | mZKdrmqTv ),every time cflFWQ or nVHZYAaIwcQD or mZKdrmqTv
universal_global,G( hqsyMIdor | WjVSQt | SQsFDGESS_mBCcx ),every time hqsyMIdor or WjVSQt or SQsFDGESS_mBCcx
